[bridge] model step=40284 window=8 steps=2 anchors=117 md5=99b573e8277d94a5e3bfbf630cb4d751 load 120.9s rss=2.179GB
  [A1_ego_cmd] 25/204 stage-2 scenes, 1.78 s/scene, rss=1.942GB
  [A1_ego_cmd] 50/204 stage-2 scenes, 1.84 s/scene, rss=1.998GB
  [A1_ego_cmd] 75/204 stage-2 scenes, 1.91 s/scene, rss=2.013GB
  [A1_ego_cmd] 100/204 stage-2 scenes, 1.90 s/scene, rss=2.07GB
  [A1_ego_cmd] 125/204 stage-2 scenes, 1.94 s/scene, rss=2.128GB
  [A1_ego_cmd] 150/204 stage-2 scenes, 2.09 s/scene, rss=2.153GB
  [A1_ego_cmd] 175/204 stage-2 scenes, 2.19 s/scene, rss=2.218GB
  [A1_ego_cmd] 200/204 stage-2 scenes, 2.19 s/scene, rss=2.253GB
[bridge] A1_ego_cmd: 204 refcv4b rows, 16 cv stand-ins, 448.4 s
  [A2_vision_pure] 25/204 stage-2 scenes, 2.15 s/scene, rss=2.261GB
  [A2_vision_pure] 50/204 stage-2 scenes, 2.15 s/scene, rss=2.261GB
  [A2_vision_pure] 75/204 stage-2 scenes, 2.25 s/scene, rss=2.277GB
  [A2_vision_pure] 100/204 stage-2 scenes, 2.22 s/scene, rss=2.261GB
  [A2_vision_pure] 125/204 stage-2 scenes, 2.27 s/scene, rss=2.277GB
  [A2_vision_pure] 150/204 stage-2 scenes, 2.26 s/scene, rss=2.278GB
  [A2_vision_pure] 175/204 stage-2 scenes, 2.26 s/scene, rss=2.275GB
  [A2_vision_pure] 200/204 stage-2 scenes, 2.27 s/scene, rss=2.262GB
[bridge] A2_vision_pure: 204 refcv4b rows, 16 cv stand-ins, 469.0 s
  [A3_ego_nocmd] 25/204 stage-2 scenes, 2.34 s/scene, rss=2.271GB
  [A3_ego_nocmd] 50/204 stage-2 scenes, 2.35 s/scene, rss=2.27GB
  [A3_ego_nocmd] 75/204 stage-2 scenes, 2.43 s/scene, rss=2.266GB
  [A3_ego_nocmd] 100/204 stage-2 scenes, 2.53 s/scene, rss=2.256GB
  [A3_ego_nocmd] 125/204 stage-2 scenes, 2.59 s/scene, rss=1.545GB
  [A3_ego_nocmd] 150/204 stage-2 scenes, 2.56 s/scene, rss=1.545GB
  [A3_ego_nocmd] 175/204 stage-2 scenes, 2.49 s/scene, rss=1.56GB
  [A3_ego_nocmd] 200/204 stage-2 scenes, 2.45 s/scene, rss=1.545GB
[bridge] A3_ego_nocmd: 204 refcv4b rows, 16 cv stand-ins, 499.9 s
  [A4_blind_ego_cmd] 25/204 stage-2 scenes, 3.46 s/scene, rss=1.566GB
  [A4_blind_ego_cmd] 50/204 stage-2 scenes, 2.79 s/scene, rss=1.545GB
  [A4_blind_ego_cmd] 75/204 stage-2 scenes, 2.56 s/scene, rss=1.566GB
  [A4_blind_ego_cmd] 100/204 stage-2 scenes, 2.45 s/scene, rss=1.545GB
  [A4_blind_ego_cmd] 125/204 stage-2 scenes, 2.38 s/scene, rss=1.546GB
  [A4_blind_ego_cmd] 150/204 stage-2 scenes, 2.34 s/scene, rss=1.559GB
  [A4_blind_ego_cmd] 175/204 stage-2 scenes, 2.30 s/scene, rss=1.546GB
  [A4_blind_ego_cmd] 200/204 stage-2 scenes, 2.28 s/scene, rss=1.545GB
[bridge] A4_blind_ego_cmd: 220 refcv4b rows, 0 cv stand-ins, 465.8 s
  [A1NT_ego_cmd_nearest] 25/204 stage-2 scenes, 2.15 s/scene, rss=1.566GB
  [A1NT_ego_cmd_nearest] 50/204 stage-2 scenes, 2.15 s/scene, rss=1.598GB
  [A1NT_ego_cmd_nearest] 75/204 stage-2 scenes, 2.14 s/scene, rss=1.592GB
  [A1NT_ego_cmd_nearest] 100/204 stage-2 scenes, 2.15 s/scene, rss=1.592GB
  [A1NT_ego_cmd_nearest] 125/204 stage-2 scenes, 2.14 s/scene, rss=1.608GB
  [A1NT_ego_cmd_nearest] 150/204 stage-2 scenes, 2.14 s/scene, rss=1.592GB
  [A1NT_ego_cmd_nearest] 175/204 stage-2 scenes, 2.14 s/scene, rss=1.603GB
  [A1NT_ego_cmd_nearest] 200/204 stage-2 scenes, 2.14 s/scene, rss=1.592GB
[bridge] A1NT_ego_cmd_nearest: 204 refcv4b rows, 16 cv stand-ins, 449.9 s
  [A2NT_vision_pure_nearest] 25/204 stage-2 scenes, 2.11 s/scene, rss=1.364GB
  [A2NT_vision_pure_nearest] 50/204 stage-2 scenes, 2.13 s/scene, rss=1.38GB
  [A2NT_vision_pure_nearest] 75/204 stage-2 scenes, 2.13 s/scene, rss=1.374GB
  [A2NT_vision_pure_nearest] 100/204 stage-2 scenes, 2.13 s/scene, rss=1.378GB
  [A2NT_vision_pure_nearest] 125/204 stage-2 scenes, 2.12 s/scene, rss=1.377GB
  [A2NT_vision_pure_nearest] 150/204 stage-2 scenes, 2.12 s/scene, rss=1.378GB
  [A2NT_vision_pure_nearest] 175/204 stage-2 scenes, 2.12 s/scene, rss=1.37GB
  [A2NT_vision_pure_nearest] 200/204 stage-2 scenes, 2.13 s/scene, rss=1.364GB
[bridge] A2NT_vision_pure_nearest: 204 refcv4b rows, 16 cv stand-ins, 437.8 s
exit=0
