index,token,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,pdm_score,valid,log_name,frame_type,start_time,endpoint_x,endpoint_y,start_point_x,start_point_y,two_frame_extended_comfort,weight,score
0,5f53001e7e2d5347,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,True,2021.09.29.19.02.14_veh-28_02911_03005,0,1632945157.7996979,331569.1241045007,4689334.819510207,331601.721969442,4689330.118968012,0.0,1.0,0.0
1,ae472d675a965aca,1.0,0.0,0.5,1.0,0.8489485257285367,1.0,1.0,1.0,0.0,True,2021.09.16.13.53.10_veh-42_00180_00342,0,1631800680.899344,589257.0342680312,4474189.487236906,589242.0472052258,4474176.759019697,0.0,1.0,0.0
2,c054f473288d5515,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,True,2021.08.30.14.54.34_veh-40_00439_00835,0,1630335851.5005128,331376.8335123714,4690964.418223722,331410.0991830117,4690947.028148036,0.0,1.0,0.0
3,68097b10029d5fe1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,True,2021.08.30.14.54.34_veh-40_00439_00835,0,1630335851.000633,331378.78857310535,4690961.634754882,331413.13880491117,4690944.533311284,0.0,1.0,0.0
4,f14e7ed78b5d55b4,1.0,0.0,0.0,1.0,0.8049039655313427,1.0,1.0,1.0,0.0,True,2021.09.16.13.53.10_veh-42_00180_00342,0,1631800681.3990788,589258.2278420802,4474192.324583703,589243.3815367504,4474177.106909354,0.0,1.0,0.0
5,4cac9f6cd85a5b47,1.0,0.0,0.0,1.0,0.9715517643166454,1.0,0.0,1.0,0.0,True,2021.08.16.14.23.37_veh-45_00015_00132,0,1629124048.500084,588927.8606474701,4474949.179846357,588949.7255746338,4474914.198934419,0.0,1.0,0.0
6,3c542be991515ccd,0.0,0.0,0.5,1.0,0.8171911899581659,0.0,1.0,1.0,0.0,True,2021.09.29.19.02.14_veh-28_02911_03005,0,1632945158.299608,331564.4938221568,4689337.1394099435,331598.1846219732,4689330.576005744,0.0,1.0,0.0
7,13310ca9a7715154,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,True,2021.09.16.15.47.30_veh-45_01199_01391,0,1631808551.2995698,587716.6357963553,4475571.820787865,587704.8190818963,4475545.223946949,0.0,1.0,0.0
8,2382542e05f253df,1.0,0.0,0.0,1.0,0.9601993184402011,1.0,0.0,1.0,0.0,True,2021.08.16.14.23.37_veh-45_00015_00132,0,1629124048.000377,588929.5609078198,4474945.081281794,588951.2628397987,4474910.0932001425,0.0,1.0,0.0
9,19e90f2757b25f38,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,True,2021.09.16.19.27.01_veh-45_01749_03230,0,1631822757.500365,587589.1558689121,4475583.772295428,587557.3135848412,4475585.698763372,0.0,1.0,0.0
10,ed3db88f99a05a6c,1.0,0.0,0.0,1.0,0.8896963565355557,1.0,0.0,1.0,0.0,True,2021.10.06.08.16.17_veh-52_01590_01725,0,1633509880.200006,365798.36735913856,143339.1215626662,365788.397083403,143372.78371830107,0.0,1.0,0.0
11,f6b9867069845fd2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,True,2021.09.16.19.27.01_veh-45_01749_03230,0,1631822758.0006928,587589.9479859244,4475583.506448844,587560.1601854337,4475584.715901437,0.0,1.0,0.0
12,f3ca2707d87a586b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.09.16.15.47.30_veh-45_01199_01391,0,1631808655.300696,588037.1958302374,4475716.895648064,588002.1710295947,4475681.135305075,0.0,1.0,0.875
13,0dc54a8c8203567b,1.0,0.0,0.0,1.0,0.893510841970567,1.0,1.0,1.0,0.0,True,2021.10.06.08.16.17_veh-52_01590_01725,0,1633509880.699771,365798.58433183964,143335.3948244816,365788.59545580763,143369.13966477392,0.0,1.0,0.0
