,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,3c584e53042d5157,True,1.0,1.0,0.8871633426565251,1.0,1.0,1.0,0.9529847261068854
1,c4884a363f805a18,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
2,a6b457a7eb6a5cde,True,1.0,1.0,0.7760823068656274,1.0,1.0,1.0,0.9067009611940113
3,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,36650ce9087150de,True,1.0,1.0,0.9704491236783971,1.0,1.0,1.0,0.9876871348659989
5,a49be33c358b5cb4,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
6,71629f355b5e5b19,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
7,7398c63b60075187,True,1.0,1.0,0.09540170514435968,1.0,1.0,1.0,0.6230840438101498
8,44f75400f3a15c14,True,1.0,1.0,0.9231840887972864,1.0,1.0,1.0,0.9679933703322027
9,131ab0263b07507c,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
10,2b352a08cb3b59ea,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
11,622867ce25805447,True,1.0,1.0,0.6747790769096395,1.0,1.0,0.5,0.864491282045683
12,21d65485fa3c55e7,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
13,689b619dfd3652c3,True,1.0,1.0,0.8232642326115331,1.0,1.0,1.0,0.9263600969214721
14,04f569ff8cb3504d,True,1.0,1.0,0.8435294899285164,1.0,1.0,1.0,0.9348039541368819
15,2b10974c7f7e5444,True,1.0,1.0,0.5256426523700833,1.0,1.0,1.0,0.8023511051542013
16,6012a63b7a3b52c7,True,1.0,1.0,0.7212220270270104,1.0,1.0,1.0,0.8838425112612543
17,82e565141eb55f88,True,1.0,1.0,0.91010377351561,1.0,1.0,1.0,0.9625432389648374
18,0eb2056214155957,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,70ce3fce14785ae5,True,1.0,1.0,0.9434323131889035,1.0,1.0,1.0,0.9764301304953765
20,c8dd0a6b741e58b0,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
21,3ca720caa0ff5082,True,1.0,1.0,0.019624541524403842,1.0,1.0,1.0,0.5915102256351682
22,f9a9b5ee707e501e,True,0.0,1.0,0.0,0.0,1.0,0.5,0.0
23,c848c9ccc6e55adf,True,1.0,1.0,0.6181939017261233,1.0,1.0,1.0,0.840914125719218
24,2352a994954555ba,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
25,b7b0c0f56613553b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,cdf704c535245f57,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
27,6c81fef5b490580a,True,0.0,1.0,0.0,0.0,1.0,0.5,0.0
28,48271cdeceb35236,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,49d00c5507175e01,True,1.0,1.0,0.7506823700083699,1.0,1.0,1.0,0.8961176541701542
30,ce3ff067f10b526b,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
31,fd513762a5ea5dd4,True,1.0,1.0,0.8081760015204371,1.0,1.0,1.0,0.9200733339668488
32,80c159e90ae755f3,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
33,0a44947ca9e85579,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
34,7c62648ff8a25812,True,1.0,1.0,0.894463819216655,0.0,1.0,1.0,0.5393599246736063
35,3251e54ebe415e5c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,4952a782e55057b7,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
