,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,3c584e53042d5157,True,1.0,1.0,0.87633624373161,1.0,1.0,1.0,0.9484734348881708
1,c4884a363f805a18,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
2,a6b457a7eb6a5cde,True,1.0,1.0,0.7736231168996598,1.0,1.0,1.0,0.9056762987081916
3,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,36650ce9087150de,True,1.0,1.0,0.957880033077746,1.0,1.0,1.0,0.9824500137823943
5,a49be33c358b5cb4,True,1.0,1.0,0.6790393418013487,1.0,1.0,1.0,0.8662663924172286
6,71629f355b5e5b19,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
7,7398c63b60075187,True,1.0,1.0,0.09795799386989484,1.0,1.0,1.0,0.6241491641124562
8,44f75400f3a15c14,True,1.0,1.0,0.9223071379005727,1.0,1.0,1.0,0.9676279741252386
9,131ab0263b07507c,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
10,2b352a08cb3b59ea,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
11,622867ce25805447,True,1.0,1.0,0.6738667879281097,1.0,1.0,0.5,0.8641111616367123
12,21d65485fa3c55e7,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
13,689b619dfd3652c3,True,1.0,1.0,0.8145543146398176,1.0,1.0,1.0,0.9227309644332573
14,04f569ff8cb3504d,True,1.0,1.0,0.8653398665579349,1.0,1.0,1.0,0.9438916110658062
15,2b10974c7f7e5444,True,1.0,1.0,0.5190920303178781,1.0,1.0,1.0,0.7996216792991159
16,6012a63b7a3b52c7,True,1.0,1.0,0.7164881673929265,1.0,1.0,1.0,0.8818700697470527
17,82e565141eb55f88,True,1.0,1.0,0.9019611337174288,1.0,1.0,1.0,0.959150472382262
18,0eb2056214155957,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,70ce3fce14785ae5,True,1.0,1.0,0.9291013770892497,1.0,1.0,1.0,0.9704589071205207
20,c8dd0a6b741e58b0,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
21,3ca720caa0ff5082,True,1.0,1.0,0.021903500818894348,1.0,1.0,1.0,0.5924597920078726
22,f9a9b5ee707e501e,True,0.0,1.0,0.0,0.0,1.0,0.5,0.0
23,c848c9ccc6e55adf,True,1.0,1.0,0.6109508216843851,1.0,1.0,1.0,0.8378961757018271
24,2352a994954555ba,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
25,b7b0c0f56613553b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,cdf704c535245f57,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
27,6c81fef5b490580a,True,0.0,1.0,0.0,0.0,1.0,0.5,0.0
28,48271cdeceb35236,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,49d00c5507175e01,True,1.0,1.0,0.7455337746917241,1.0,1.0,1.0,0.8939724061215517
30,ce3ff067f10b526b,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
31,fd513762a5ea5dd4,True,1.0,1.0,0.8079856406631835,1.0,1.0,1.0,0.9199940169429931
32,80c159e90ae755f3,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
33,0a44947ca9e85579,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
34,7c62648ff8a25812,True,1.0,1.0,0.891459727671803,0.0,1.0,1.0,0.5381082198632513
35,3251e54ebe415e5c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,4952a782e55057b7,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
37,442b2cf63c6f570a,True,1.0,1.0,0.6358977399406257,1.0,1.0,1.0,0.8482907249752607
38,67e538558b0b5f93,True,1.0,1.0,0.5675875638156354,1.0,1.0,1.0,0.8198281515898481
39,de83f2c537565ca8,True,1.0,1.0,0.7114422860228544,1.0,1.0,1.0,0.8797676191761893
40,c1686b2e1a4e5149,True,1.0,1.0,0.523599966925743,1.0,1.0,1.0,0.8014999862190596
41,e1398b3ecf3f520d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,85936ccd1b405f4c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,517530489c455086,True,1.0,1.0,0.8627005042178563,1.0,1.0,1.0,0.9427918767574401
44,918d03455301591b,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
45,ee492610c55b5440,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
46,b8ca1857a0f75fb4,True,1.0,1.0,0.30280681284904515,1.0,1.0,1.0,0.7095028386871022
47,83e895f722575452,True,1.0,1.0,0.3114170989241494,1.0,1.0,1.0,0.7130904578850622
48,ce9f5160229b5755,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,43458f6eab155322,True,1.0,1.0,0.8475952258259883,1.0,1.0,1.0,0.9364980107608285
50,d37242b32b51586b,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
51,09d33cf8b87c5ae3,True,1.0,1.0,0.35526962194938916,1.0,1.0,1.0,0.7313623424789122
52,fc1800501fa157a7,True,1.0,1.0,0.9175714127791229,1.0,1.0,1.0,0.9656547553246346
53,8d293b5028e555a3,True,1.0,1.0,0.01078649750825351,1.0,1.0,1.0,0.5878277072951056
54,d546193a3a28587f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,2d0517c112625a09,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
56,96540ed00a785607,True,1.0,1.0,0.7342864863115203,1.0,1.0,1.0,0.8892860359631335
57,613c91adcbe55cd5,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
58,1b203e7299655c9c,True,1.0,1.0,0.9075991083470707,1.0,1.0,0.5,0.9614996284779461
59,69baa41122b45e43,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0
60,8601b9cf8c6852f3,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
61,c81f2105e14758ea,True,1.0,1.0,0.7615178659655376,1.0,1.0,1.0,0.9006324441523074
62,e247c988c28957fc,True,1.0,1.0,0.7167941884554974,1.0,1.0,1.0,0.8819975785231239
63,54e57dfcbf295398,True,1.0,1.0,0.9286211531239663,1.0,1.0,1.0,0.9702588138016527
64,42629decf8ad5328,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,fdee882945885aa7,True,1.0,1.0,0.8354324777810131,1.0,1.0,1.0,0.9314301990754221
66,5f2aad4e03625d30,True,1.0,1.0,0.8692525970876781,1.0,1.0,1.0,0.9455219154531992
67,82cd122751085a80,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
68,ef43bbb93f0d50eb,True,1.0,1.0,0.6519106321186774,1.0,1.0,1.0,0.8549627633827823
69,d7f6204c325d53fe,True,1.0,0.0,0.0,0.0,1.0,0.5,0.0
70,2a8b9c88615450a8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,7186e23637965344,True,1.0,1.0,0.8082713040720154,1.0,1.0,1.0,0.9201130433633398
72,169ccb03f27e589d,True,0.5,0.0,0.0,0.0,1.0,0.5,0.0
73,253adcf13a3f5c15,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,8b7722d516e553ba,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,cf31c5ada8c353bc,True,0.0,0.0,0.0,0.0,0.0,0.5,0.0
76,ca4be8d422eb5f56,True,1.0,1.0,0.5386951467294571,1.0,1.0,1.0,0.8077896444706072
77,ef5dcc2415915678,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
78,f0b6499b393152be,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
79,e50483d19a4b5489,True,1.0,1.0,0.9927574253989994,1.0,1.0,1.0,0.9969822605829165
80,131a036a111e54f3,True,0.0,1.0,0.0,1.0,1.0,1.0,0.0
81,8d7c5f26b9775cce,True,1.0,1.0,0.6607499054324234,1.0,1.0,0.0,0.8586457939301764
82,cb53746741b25730,True,1.0,1.0,0.7737448963631278,1.0,1.0,1.0,0.9057270401513033
83,36f96e28725c5f5e,True,0.5,0.0,0.0,0.0,1.0,1.0,0.0
84,8181a3050dfa51b4,True,1.0,1.0,0.7513526613624985,1.0,1.0,1.0,0.8963969422343743
85,402c9312982a5488,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
86,d6f52d0bbaf5523c,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
87,63930f7b3b0e5872,True,1.0,1.0,0.7957185462897829,1.0,1.0,1.0,0.9148827276207429
88,93a208914ea85781,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
89,cc8b8b4ae726592a,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
90,de1662269d685ce0,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
91,6618e0dc30c95169,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,1f54430427975391,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
93,b6247a5245a5554f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,58a10d0c924050cf,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0
95,a1592a3b82bb5060,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
96,ade646d3c19b5bb0,True,1.0,1.0,1.0,1.0,1.0,0.5,1.0
97,dfeb840d983e55ca,True,1.0,1.0,0.7829234347268539,1.0,1.0,1.0,0.9095514311361891
98,734ef653644c55b9,True,1.0,1.0,0.9506401234473294,1.0,1.0,0.0,0.9794333847697206
99,e7b780eed68e5ce3,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
100,c5709bf1224a5401,True,0.0,1.0,0.0,0.0,0.0,0.5,0.0
101,a5ddad9bbb505316,True,1.0,1.0,0.669943848171613,1.0,1.0,1.0,0.8624766034048387
102,0ba42ee3c2555502,True,1.0,1.0,0.7388803067036077,1.0,1.0,1.0,0.8912001277931699
103,c79b2a28285f5e11,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,7df960d73e50560b,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
105,313756e5fc655c0e,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
106,6cd0498ce2d857f3,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
107,380ae43ebd795e88,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
108,330af4c06f715d2d,True,1.0,1.0,0.9162765700452279,1.0,1.0,1.0,0.965115237518845
109,a6706582212458bb,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
110,8ab90aef703b50cc,True,1.0,1.0,0.698491454607555,1.0,1.0,1.0,0.8743714394198147
111,24c278846879520f,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
112,736e79c663bf5310,True,1.0,1.0,0.6177745973276793,1.0,1.0,1.0,0.8407394155531996
113,eccba8e0ad6651c3,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
114,b9182baaae3b5ab2,True,0.5,0.0,0.0,0.0,1.0,1.0,0.0
115,2c1c564733075187,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
116,0769a262b53b589e,True,1.0,1.0,0.7830334980450928,1.0,1.0,1.0,0.909597290852122
117,02e8fd3cc3c3556f,True,1.0,1.0,0.7378274073489195,0.0,1.0,1.0,0.4740947530620498
118,b7453f77be5b53df,True,1.0,1.0,0.7299220183928385,1.0,1.0,1.0,0.8874675076636827
119,b8b9e355618b58cd,True,1.0,1.0,0.01120806180816816,1.0,1.0,1.0,0.5880033590867367
120,d2c9ae71df055417,True,1.0,1.0,0.7509992095312993,1.0,1.0,1.0,0.8962496706380413
121,41cf41279f5459f6,True,1.0,1.0,0.9110251670158859,1.0,1.0,1.0,0.9629271529232858
122,ef0b98c7837e5e4a,True,1.0,1.0,0.987376995527663,1.0,1.0,1.0,0.9947404148031929
123,873e300af5a95bf2,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
124,36a10b24956c5db7,True,1.0,1.0,0.11980858259767674,1.0,1.0,1.0,0.6332535760823653
125,dc8554c53a2a5afc,True,1.0,1.0,0.13393506278867134,1.0,1.0,1.0,0.6391396094952797
126,b2229456008c518d,True,1.0,1.0,0.5845336560677189,1.0,1.0,0.5,0.8268890233615496
127,49a0d29c7058501c,True,1.0,1.0,0.7682532902502496,1.0,1.0,0.5,0.9034388709376039
128,50dac69523a15131,True,1.0,1.0,0.8768806020845278,1.0,1.0,1.0,0.9487002508685531
129,ebc5a6ec11205f0c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,60826aa0bcfc5225,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
131,20a6e330d8f1571b,True,1.0,1.0,0.9466074842506474,1.0,1.0,0.0,0.9777531184377697
132,6e10835f184d5921,True,0.5,1.0,0.42659957695080375,0.0,1.0,1.0,0.17220824519808411
133,7884402f265258ff,True,1.0,1.0,0.719236138231786,1.0,1.0,1.0,0.8830150575965775
134,9ed452bde7335185,True,1.0,1.0,0.952188634482707,1.0,1.0,1.0,0.9800785977011279
135,5883b0e7c7215e80,True,1.0,1.0,0.7457739775988488,1.0,1.0,1.0,0.8940724906661869
136,98017c16248a5f54,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,189654afe9465b09,True,0.0,0.0,0.0,0.0,0.0,0.5,0.0
138,6d3f9d5ca5e05aa2,True,1.0,1.0,0.7693928018870493,1.0,1.0,1.0,0.9039136674529372
139,80f6c94fed0c5519,True,1.0,1.0,0.8668992205065205,1.0,1.0,1.0,0.9445413418777169
140,d8c6268b250e585c,True,1.0,1.0,0.6228127826647567,1.0,1.0,1.0,0.8428386594436486
141,53928c06f3005536,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
142,86641ef36dfc5c16,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
143,5d7e99b7eea65475,True,1.0,1.0,0.749093199562157,1.0,1.0,0.5,0.8954554998175656
144,dd8ac2f25ac75478,True,1.0,1.0,0.03856370655172911,1.0,1.0,1.0,0.5994015443965538
145,06db90857b4e575d,True,1.0,1.0,0.06044745042039284,1.0,1.0,1.0,0.608519771008497
146,e3ce6f2ef9765b9a,True,0.5,0.0,0.0,0.0,1.0,1.0,0.0
147,c2a01dd3d1d45258,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,de9dd93857cf5ab5,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
149,778dc72ff2ec5e94,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
150,5c4d8dfcb0aa5541,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
151,a82f1c8ad27d53cc,True,1.0,1.0,0.8676003426827416,1.0,1.0,1.0,0.9448334761178089
152,051d26c01f3653ba,True,1.0,1.0,0.7048398490537916,1.0,1.0,1.0,0.8770166037724132
