,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,03059436fa185bf8,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
1,02379e524f105926,True,1.0,1.0,0.9961215382181485,1.0,1.0,1.0,0.9983839742575619
2,03296a9251995268,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
3,030706565b1f552d,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
4,014369205e025f0c,True,1.0,1.0,0.6553127797087942,1.0,1.0,1.0,0.8563803248786642
5,0371700bf65b51e0,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
6,0146e76ccdba5d9d,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
7,012ca60989175c54,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,003a1fdca9505c09,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
9,01fc240ee1d25c9e,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
10,028613e11f415422,True,1.0,1.0,0.7052211381624716,1.0,1.0,1.0,0.8771754742343632
11,0166f867762a56e1,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
12,025aab0da0e652b7,True,1.0,1.0,0.596223002209837,1.0,1.0,1.0,0.8317595842540988
13,01f2481a8cfc5803,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14,02e9f697f2d055ee,True,1.0,1.0,0.6934968791001042,1.0,1.0,1.0,0.87229036629171
15,01ce9c82de0d5539,True,1.0,1.0,0.6023772269951979,1.0,1.0,1.0,0.8343238445813325
16,018690bcb255590d,True,1.0,1.0,0.6786823495648826,1.0,1.0,1.0,0.8661176456520344
17,01329f4a29285dfe,True,1.0,1.0,0.8367288888733447,1.0,1.0,1.0,0.9319703703638936
18,01add9e74d3c5053,True,1.0,1.0,0.4519718382022753,1.0,1.0,1.0,0.7716549325842813
19,03d1885be4355a79,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
20,02ecdf935f895a86,True,1.0,0.0,0.0,0.0,1.0,0.5,0.0
21,01fa845276f857c5,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
22,015ef5e7f5a55db8,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
23,0208ed2202af56b2,True,1.0,1.0,0.7766770831451935,1.0,1.0,1.0,0.9069487846438307
24,030c27139f7d57a4,True,1.0,1.0,0.6583653080793415,1.0,1.0,1.0,0.8576522116997256
25,01da0653d99c5903,True,1.0,1.0,0.820686802232546,1.0,1.0,1.0,0.9252861675968941
26,00ff8eeb53cc598b,True,1.0,0.0,0.0,0.0,1.0,0.5,0.0
27,013ec5b715635a66,True,1.0,1.0,0.9592069386287042,1.0,1.0,1.0,0.9830028910952935
28,0220967816915e94,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
29,025b657634505df3,True,1.0,1.0,0.889771446944197,1.0,1.0,1.0,0.9540714362267488
30,0000548db87959c2,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
31,006e2728d7115fa7,True,1.0,1.0,0.4471264429607254,1.0,1.0,1.0,0.7696360179003022
32,01a58976a2e45a3d,True,1.0,1.0,0.04339931175712769,1.0,1.0,1.0,0.6014163798988031
33,019eaadd84cb56f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,016d6a913efa5ff1,True,1.0,1.0,0.7495870714099094,1.0,1.0,0.5,0.8956612797541289
35,006d30e1af265b1e,True,1.0,1.0,0.9326404958214161,1.0,1.0,1.0,0.9719335399255901
36,03660e332def5cfa,True,1.0,1.0,0.7596100096266126,1.0,1.0,1.0,0.8998375040110886
37,02e3c48291855ae8,True,1.0,1.0,0.06935317126986605,1.0,1.0,1.0,0.6122304880291108
38,0388cd6f1af65029,True,1.0,1.0,0.846339110378003,1.0,1.0,0.5,0.9359746293241679
39,032ae6630661521a,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
40,029585f0509d52b0,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,02b68b9cc51f506a,True,1.0,1.0,0.5324548795335371,1.0,1.0,1.0,0.8051895331389738
