,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,3c584e53042d5157,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
1,c4884a363f805a18,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
2,a6b457a7eb6a5cde,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
3,1d7fd5ffc1e3571c,True,1.0,1.0,0.6320947856215445,0.0,1.0,1.0,0.4300394940089769
4,36650ce9087150de,True,1.0,1.0,0.44843951743657084,1.0,1.0,1.0,0.7701831322652378
5,a49be33c358b5cb4,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
6,71629f355b5e5b19,True,0.5,0.0,0.0,0.0,1.0,1.0,0.0
7,7398c63b60075187,True,1.0,1.0,0.29226911955463813,1.0,1.0,1.0,0.7051121331477659
8,44f75400f3a15c14,True,1.0,0.0,0.0,0.0,1.0,0.5,0.0
9,131ab0263b07507c,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
10,2b352a08cb3b59ea,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
11,622867ce25805447,True,1.0,1.0,0.44078865088796815,1.0,1.0,1.0,0.76699527120332
12,21d65485fa3c55e7,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
13,689b619dfd3652c3,True,1.0,1.0,0.6103063395573137,0.0,1.0,1.0,0.4209609748155474
14,04f569ff8cb3504d,True,0.5,1.0,0.7891711441573649,0.0,1.0,1.0,0.24774398836611766
15,2b10974c7f7e5444,True,1.0,1.0,0.7575050121795384,0.0,1.0,1.0,0.48229375507480765
16,6012a63b7a3b52c7,True,1.0,1.0,0.8210680071571336,0.0,1.0,1.0,0.5087783363154723
17,82e565141eb55f88,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
18,0eb2056214155957,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
19,70ce3fce14785ae5,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
20,c8dd0a6b741e58b0,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
21,3ca720caa0ff5082,True,1.0,1.0,0.029644309478364144,1.0,1.0,1.0,0.5956851289493185
22,f9a9b5ee707e501e,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
23,c848c9ccc6e55adf,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
24,2352a994954555ba,True,0.0,1.0,0.0,1.0,1.0,1.0,0.0
25,b7b0c0f56613553b,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,cdf704c535245f57,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
27,6c81fef5b490580a,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
28,48271cdeceb35236,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
29,49d00c5507175e01,True,0.5,1.0,0.42922174829066706,0.0,1.0,1.0,0.17275453089388895
30,ce3ff067f10b526b,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
31,fd513762a5ea5dd4,True,1.0,1.0,0.39725854370969055,1.0,1.0,1.0,0.7488577265457043
32,80c159e90ae755f3,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0
33,0a44947ca9e85579,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
34,7c62648ff8a25812,True,1.0,1.0,0.9018311988669797,0.0,1.0,1.0,0.5424296661945749
35,3251e54ebe415e5c,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
36,4952a782e55057b7,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
37,442b2cf63c6f570a,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
38,67e538558b0b5f93,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
39,de83f2c537565ca8,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
40,c1686b2e1a4e5149,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
41,e1398b3ecf3f520d,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
42,85936ccd1b405f4c,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
43,517530489c455086,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
44,918d03455301591b,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
45,ee492610c55b5440,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
46,b8ca1857a0f75fb4,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
47,83e895f722575452,True,1.0,1.0,0.5134089973357043,1.0,1.0,0.5,0.7972537488898768
48,ce9f5160229b5755,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
49,43458f6eab155322,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
50,d37242b32b51586b,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
51,09d33cf8b87c5ae3,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
52,fc1800501fa157a7,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
53,8d293b5028e555a3,True,1.0,1.0,0.011549763928385089,1.0,1.0,1.0,0.5881457349701604
54,d546193a3a28587f,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0
55,2d0517c112625a09,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
56,96540ed00a785607,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
57,613c91adcbe55cd5,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
58,1b203e7299655c9c,True,1.0,1.0,0.762430482851654,0.0,1.0,0.0,0.4843460345215225
59,69baa41122b45e43,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0
60,8601b9cf8c6852f3,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
61,c81f2105e14758ea,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
62,e247c988c28957fc,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
63,54e57dfcbf295398,True,1.0,1.0,0.3384754439197958,1.0,1.0,1.0,0.7243647682999149
64,42629decf8ad5328,True,1.0,1.0,1.0,0.0,1.0,0.5,0.5833333333333334
65,fdee882945885aa7,True,1.0,1.0,0.7836382352635326,0.0,1.0,1.0,0.4931825980264719
66,5f2aad4e03625d30,True,1.0,1.0,0.4342054588643983,1.0,1.0,1.0,0.7642522745268326
67,82cd122751085a80,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
68,ef43bbb93f0d50eb,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
69,d7f6204c325d53fe,True,0.5,0.0,0.0,0.0,1.0,0.5,0.0
70,2a8b9c88615450a8,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
71,7186e23637965344,True,1.0,1.0,0.9089849493878999,0.0,1.0,1.0,0.5454103955782916
72,169ccb03f27e589d,True,0.0,1.0,0.0,0.0,1.0,0.5,0.0
73,253adcf13a3f5c15,True,0.0,1.0,0.0,1.0,1.0,1.0,0.0
74,8b7722d516e553ba,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0
75,cf31c5ada8c353bc,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
76,ca4be8d422eb5f56,True,1.0,1.0,0.511035759608549,1.0,1.0,1.0,0.7962648998368954
