,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,e9bb1dab462252e9,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
1,0f206a62842b59b2,True,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2,586c5b66ad8158ee,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3,c49e7550cee75722,True,0.0,1.0,0.0,1.0,1.0,1.0,0.0
4,0045af58281456a0,True,1.0,1.0,0.48193767341324395,1.0,1.0,1.0,0.7841406972555184
5,54ae4b189e79541b,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
6,6eac1c0e2bbd57bb,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
7,392a50db492b536e,True,1.0,1.0,0.840027169326847,0.0,1.0,1.0,0.5166779872195196
8,fd30ed65f94d51b2,True,1.0,1.0,0.8613491008064988,0.0,1.0,1.0,0.5255621253360412
9,8781cde1032354cb,True,0.0,1.0,0.0,1.0,1.0,1.0,0.0
10,5ad18b7f7b2a52c7,True,1.0,1.0,0.5176936340488725,1.0,1.0,1.0,0.7990390141870302
11,c20652fc6a78529b,True,1.0,1.0,0.27732442591132056,1.0,1.0,1.0,0.6988851774630502
12,b29689efa40f54e0,True,1.0,1.0,0.438780102887894,1.0,1.0,1.0,0.7661583762032892
13,afa0bb26045b5981,True,1.0,1.0,0.8895176817722137,0.0,1.0,1.0,0.5372990340717557
14,6d72d039fb9a551b,True,1.0,1.0,0.4706918253737301,1.0,1.0,1.0,0.7794549272390542
15,1975d15fde2955ff,True,1.0,1.0,0.5053917225814979,1.0,1.0,0.0,0.7939132177422907
16,d792515ce4b257a4,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
17,b111bb8716b756d2,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
18,d80488b4e04c5e47,True,1.0,1.0,0.3762641216809444,1.0,1.0,1.0,0.7401100507003934
19,a1e689b17ca65053,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
20,average,True,0.85,0.7,0.3329488728901532,0.8,1.0,0.75,0.37622869703756384
