,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,3c584e53042d5157,True,1.0,1.0,0.9459991885456503,1.0,1.0,1.0,0.9774996618940209
1,c4884a363f805a18,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,a6b457a7eb6a5cde,True,1.0,1.0,0.7774519424683319,1.0,1.0,1.0,0.9072716426951383
3,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,36650ce9087150de,True,1.0,1.0,0.6755011722413433,1.0,1.0,1.0,0.8647921551005598
5,a49be33c358b5cb4,True,1.0,1.0,0.5623855370540968,1.0,1.0,1.0,0.8176606404392069
6,71629f355b5e5b19,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,7398c63b60075187,True,1.0,1.0,0.8860255298541724,1.0,1.0,1.0,0.9525106374392385
8,44f75400f3a15c14,True,1.0,1.0,0.9848049045551959,1.0,1.0,1.0,0.9936687102313316
9,131ab0263b07507c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2b352a08cb3b59ea,True,1.0,1.0,0.5832100409658993,1.0,1.0,1.0,0.8263375170691246
11,622867ce25805447,True,1.0,1.0,0.922036938408704,1.0,1.0,1.0,0.9675153910036268
12,21d65485fa3c55e7,True,1.0,1.0,0.7452841817183863,1.0,1.0,1.0,0.8938684090493276
13,689b619dfd3652c3,True,1.0,1.0,0.8659413750348244,1.0,1.0,1.0,0.9441422395978435
14,04f569ff8cb3504d,True,1.0,1.0,0.7587837814064159,1.0,1.0,1.0,0.8994932422526732
15,2b10974c7f7e5444,True,1.0,1.0,0.5243855650923689,1.0,1.0,1.0,0.801827318788487
16,6012a63b7a3b52c7,True,1.0,1.0,0.7791755753561359,1.0,1.0,1.0,0.9079898230650567
17,82e565141eb55f88,True,1.0,1.0,0.9953447549665141,1.0,1.0,1.0,0.9980603145693809
18,0eb2056214155957,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,70ce3fce14785ae5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,c8dd0a6b741e58b0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,3ca720caa0ff5082,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,f9a9b5ee707e501e,True,1.0,1.0,0.9574260743930008,1.0,1.0,1.0,0.982260864330417
23,c848c9ccc6e55adf,True,1.0,1.0,0.9327446659664238,1.0,1.0,1.0,0.9719769441526767
24,2352a994954555ba,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,b7b0c0f56613553b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,cdf704c535245f57,True,1.0,1.0,0.7409045668671146,1.0,1.0,1.0,0.8920435695279645
27,6c81fef5b490580a,True,1.0,1.0,0.8510065265010854,1.0,1.0,0.0,0.937919386042119
28,48271cdeceb35236,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
