,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,5f53001e7e2d5347,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
1,ae472d675a965aca,True,1.0,1.0,1.0,1.0,0.8440613763757093,1.0,1.0,1.0,,0.9443076344198962
2,c054f473288d5515,True,1.0,1.0,1.0,1.0,0.8341802012625693,1.0,0.0,1.0,1.0,0.8231813128945529
3,68097b10029d5fe1,True,1.0,1.0,1.0,1.0,0.8252023923761503,1.0,0.0,1.0,,0.7947151401343395
4,f14e7ed78b5d55b4,True,1.0,1.0,1.0,1.0,0.8669574865292714,1.0,1.0,1.0,1.0,0.9584242145403974
5,4cac9f6cd85a5b47,True,1.0,1.0,1.0,1.0,0.8841788097013557,1.0,1.0,1.0,1.0,0.9638058780316736
6,3c542be991515ccd,True,1.0,1.0,1.0,1.0,0.7828746215307257,1.0,1.0,1.0,1.0,0.9321483192283517
7,13310ca9a7715154,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2382542e05f253df,True,1.0,1.0,1.0,1.0,0.8844035419029012,1.0,1.0,1.0,,0.9587155506796076
9,19e90f2757b25f38,True,1.0,1.0,1.0,1.0,0.6482095590230377,1.0,1.0,1.0,,0.874360556793942
10,ed3db88f99a05a6c,True,1.0,1.0,1.0,1.0,0.7304342241014848,1.0,1.0,1.0,,0.9037265086076731
11,f6b9867069845fd2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,f3ca2707d87a586b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
13,0dc54a8c8203567b,True,1.0,1.0,1.0,1.0,0.7231549441471165,1.0,1.0,1.0,1.0,0.913485920045974
14,c1839a3333695317,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,d01fec804cd45644,True,1.0,1.0,1.0,1.0,0.6789845634217825,1.0,1.0,1.0,,0.8853516297934938
16,average_all_frames,True,1.0,0.9375,1.0,1.0,0.8564151075232564,1.0,0.875,1.0,1.0,0.8720139165731189
