,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,5f53001e7e2d5347,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
1,23d647e77f2d515e,True,1.0,1.0,1.0,1.0,0.7746420652355677,1.0,1.0,1.0,1.0,0.9295756453861149
2,48fecfd582935aac,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
3,63ec67c4a58a5e5b,True,1.0,1.0,1.0,1.0,0.6899837050751161,1.0,1.0,1.0,1.0,0.9031199078359737
4,bf00c76f25185b83,True,1.0,1.0,1.0,1.0,0.888060072857969,1.0,1.0,1.0,1.0,0.9650187727681153
5,b031a0b55ab951f8,True,1.0,1.0,1.0,1.0,0.8638151567123378,1.0,1.0,1.0,0.0,0.8324422364726056
6,197f2dea642850e7,True,1.0,1.0,1.0,1.0,0.7762617112299953,1.0,1.0,1.0,,0.9200934682964269
7,f289e368449b517b,True,1.0,1.0,1.0,1.0,0.6731896015102555,1.0,1.0,1.0,1.0,0.8978717504719549
8,9ef1d618435d5e53,True,1.0,1.0,1.0,1.0,0.6058086038390476,1.0,1.0,1.0,1.0,0.8768151886997024
9,c7a44a2e52bc5e22,True,1.0,1.0,1.0,1.0,0.9794757488946758,1.0,1.0,1.0,,0.992669910319527
10,082ea12d7b2355cb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,131ab0263b07507c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
12,622867ce25805447,True,1.0,1.0,1.0,1.0,0.922036938408704,1.0,1.0,1.0,1.0,0.9756365432527201
13,52b2e626eca85976,True,1.0,1.0,1.0,1.0,0.6134082678406109,1.0,1.0,1.0,1.0,0.8791900837001909
14,bd2b1a4530a1538b,True,1.0,1.0,1.0,1.0,0.5480086738202091,1.0,1.0,1.0,1.0,0.8587527105688153
15,76b708c365e45536,True,1.0,1.0,1.0,1.0,0.447860477104959,1.0,1.0,1.0,1.0,0.8274563990952997
16,8c689c4b2df55539,True,1.0,1.0,1.0,1.0,0.8183497781102393,1.0,1.0,1.0,,0.9351249207536568
17,1b95b6689ee75fab,True,1.0,1.0,1.0,1.0,0.8035059600575813,1.0,1.0,1.0,0.0,0.8135956125179942
18,6326d00e52115da4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,75857e1f177b5af4,True,1.0,1.0,1.0,1.0,0.6304635743503291,1.0,1.0,1.0,1.0,0.8845198669844778
20,3af9cb4d21e15e9e,True,1.0,1.0,1.0,1.0,0.7316644485916266,1.0,1.0,1.0,1.0,0.9161451401848832
21,ad34e2d0d3865530,True,1.0,1.0,1.0,1.0,0.7150960165005319,1.0,1.0,1.0,,0.8982485773216186
22,2033fff7b44e56db,True,1.0,1.0,1.0,1.0,0.38181837413394715,1.0,1.0,1.0,,0.7792208479049811
23,f9a9b5ee707e501e,True,1.0,1.0,1.0,1.0,0.9574260743930008,1.0,1.0,1.0,1.0,0.9866956482478128
24,f025b78e77b25fba,True,1.0,1.0,1.0,1.0,0.6885536218209485,1.0,1.0,1.0,,0.8887691506503387
25,12f2dccfb88957f9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,fa2c36ce4ba156cb,True,1.0,1.0,1.0,1.0,0.9349488138486439,1.0,1.0,1.0,,0.9767674335173728
27,aeeba19e19c35ccb,True,1.0,1.0,1.0,1.0,0.793538622645278,1.0,1.0,1.0,,0.926263793801885
28,7b2f3235b4cb5374,True,1.0,1.0,1.0,1.0,0.6486452574545891,1.0,1.0,1.0,,0.8745161633766391
29,442b2cf63c6f570a,True,1.0,1.0,1.0,1.0,0.6833682258905485,1.0,1.0,1.0,,0.8869172235323387
30,635d0bb58aa95282,True,1.0,1.0,1.0,1.0,0.8675957726217404,1.0,1.0,1.0,,0.9527127759363359
31,eed801b1cd035275,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
32,a7d3e71b8ca456a9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,67bce1e28df25eaa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
34,9191f3f8644d50cb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,9483fae2cfc352eb,True,1.0,1.0,1.0,1.0,0.5287569781266716,1.0,1.0,1.0,1.0,0.8527365556645848
36,f76112c834c25beb,True,1.0,1.0,1.0,1.0,0.8126431697251781,1.0,1.0,1.0,,0.9330868463304208
37,2352aa62dbbe58d2,True,1.0,1.0,1.0,1.0,0.6316501233124285,1.0,1.0,1.0,,0.8684464726115816
38,83e895f722575452,True,1.0,1.0,1.0,1.0,0.5399443621357407,1.0,1.0,1.0,1.0,0.8562326131674189
39,082988f40658562c,True,1.0,1.0,1.0,1.0,0.7459270425540292,1.0,1.0,1.0,1.0,0.9206022007981342
40,f56b0cc9c9d95421,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
41,3c34d5d03e8a5bdc,True,1.0,1.0,1.0,1.0,0.9419264815413154,1.0,1.0,1.0,,0.9792594576933269
42,ac55c7f072c6528d,True,1.0,1.0,1.0,1.0,0.8601463050762174,1.0,1.0,1.0,1.0,0.9562957203363179
43,3c542be991515ccd,True,1.0,1.0,1.0,1.0,0.7828746215307257,1.0,1.0,1.0,1.0,0.9321483192283517
44,a8a34f54618050f6,True,1.0,1.0,1.0,1.0,0.9883637904587648,1.0,1.0,1.0,0.0,0.871363684518364
