,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,5f53001e7e2d5347,True,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
1,ae472d675a965aca,True,1.0,1.0,1.0,1.0,0.4282492740305906,1.0,1.0,1.0,1.0,,,,,,,,,,0.8213278981345595
2,c054f473288d5515,True,0.0,0.0,1.0,1.0,0.9827726528565215,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
3,68097b10029d5fe1,True,1.0,1.0,1.0,1.0,0.9516357537823119,1.0,1.0,1.0,1.0,,,,,,,,,,0.9848861730569725
4,f14e7ed78b5d55b4,True,0.5,0.0,1.0,1.0,0.41945930073117355,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
5,4cac9f6cd85a5b47,True,1.0,0.0,1.0,1.0,0.8837821403061267,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
6,3c542be991515ccd,True,0.0,0.0,0.5,1.0,0.7180111822123013,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
7,13310ca9a7715154,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
8,2382542e05f253df,True,1.0,1.0,1.0,1.0,0.8822524987708213,1.0,1.0,1.0,1.0,,,,,,,,,,0.9632039058658817
9,19e90f2757b25f38,True,1.0,1.0,1.0,1.0,0.9926912333700368,1.0,1.0,1.0,0.0,,,,,,,,,,0.8727160104281365
10,ed3db88f99a05a6c,True,1.0,1.0,1.0,1.0,0.7565043588615681,1.0,1.0,1.0,1.0,,,,,,,,,,0.92390761214424
11,f6b9867069845fd2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
12,f3ca2707d87a586b,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
13,0dc54a8c8203567b,True,1.0,1.0,1.0,1.0,0.7554745852063265,1.0,1.0,1.0,1.0,,,,,,,,,,0.923585807876977
14,c1839a3333695317,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
15,d01fec804cd45644,True,1.0,0.0,1.0,1.0,0.7415393167362762,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
16,12499ddd90200ea9f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.19254168330814858,1.0,1.0,1.0,1.0,0.7476692760337964
17,7a999e76f404c4956,True,,,,,,,,,,1.0,1.0,0.0,1.0,0.8306689145566343,1.0,0.0,1.0,1.0,0.0
18,8e653e8d9b170a7dd,True,,,,,,,,,,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0
19,5a6f69ea54c00b6d2,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.19398919058286457,1.0,1.0,1.0,1.0,0.7481216220571452
20,c909e005442d28a9c,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.143285972353969,1.0,0.0,1.0,1.0,0.6072768663606153
21,7caf8d7d76cd0a120,True,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
22,8413ea29ea72fdfde,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.368673439736932,1.0,1.0,1.0,1.0,0.8027104499177913
