,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,5f53001e7e2d5347,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
1,ae472d675a965aca,True,1.0,0.0,0.5,1.0,0.5469513463330354,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
2,c054f473288d5515,True,0.0,0.0,0.0,1.0,0.8925084263253,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
3,68097b10029d5fe1,True,0.5,0.0,0.0,1.0,0.8484188873029217,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
4,f14e7ed78b5d55b4,True,1.0,0.0,0.5,1.0,0.5807554081010688,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
5,4cac9f6cd85a5b47,True,1.0,0.0,1.0,1.0,0.93472305023139,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
6,3c542be991515ccd,True,1.0,1.0,0.5,1.0,0.8734668484124859,1.0,1.0,1.0,1.0,,,,,,,,,,0.48022919506445094
7,13310ca9a7715154,True,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,0.0
8,2382542e05f253df,True,1.0,0.0,1.0,1.0,0.8283474030750246,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
9,19e90f2757b25f38,True,1.0,1.0,1.0,1.0,0.7220205234794016,1.0,1.0,1.0,1.0,,,,,,,,,,0.913131413587313
10,ed3db88f99a05a6c,True,1.0,1.0,1.0,1.0,0.7775658275821241,1.0,1.0,1.0,1.0,,,,,,,,,,0.9304893211194138
11,f6b9867069845fd2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
12,f3ca2707d87a586b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
13,0dc54a8c8203567b,True,1.0,1.0,1.0,1.0,0.7079788073007952,1.0,1.0,1.0,1.0,,,,,,,,,,0.9087433772814986
14,c1839a3333695317,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
15,d01fec804cd45644,True,1.0,0.0,1.0,1.0,0.7542860379927873,1.0,0.0,1.0,1.0,,,,,,,,,,0.0
16,12499ddd90200ea9f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.16773220508533013,1.0,1.0,1.0,0.0,0.6149163140891657
17,7a999e76f404c4956,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.8546666961218553,1.0,1.0,1.0,1.0,0.0
18,8e653e8d9b170a7dd,True,,,,,,,,,,1.0,1.0,0.0,1.0,0.9827328749184623,1.0,0.0,1.0,1.0,0.0
19,5a6f69ea54c00b6d2,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.12637249457211508,1.0,1.0,1.0,1.0,0.726991404553786
20,c909e005442d28a9c,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.13933259480356577,1.0,0.0,1.0,1.0,0.6060414358761144
21,7caf8d7d76cd0a120,True,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
22,8413ea29ea72fdfde,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.36336703660609276,1.0,1.0,1.0,1.0,0.8010521989394039
23,9cb5545908502a26c,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.14008841068607963,1.0,1.0,1.0,1.0,0.7312776283393999
24,e0e4ca847f84568a3,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.20180940164933991,1.0,0.0,1.0,1.0,0.6255654380154188
25,2a46d49b6aa55f1ca,True,,,,,,,,,,1.0,1.0,0.0,1.0,0.9263079821774693,1.0,0.0,1.0,1.0,0.0
26,ef08e59a9c882aea6,True,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
27,ba3f20b19ddb93cb1,True,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
28,8c19ef349d4fc37cb,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8164415852621234,1.0,1.0,1.0,1.0,0.9426379953944135
29,4855fc07a04961bfd,True,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
30,646aa5cbfd5f84a9e,True,,,,,,,,,,0.0,0.0,0.0,1.0,0.9281219416174796,0.0,0.0,1.0,0.0,0.0
31,a946e96acbe5186d9,True,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
32,bef503ff5929be3a8,True,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
33,50442ffec20a73824,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.20461517772640322,1.0,0.0,1.0,1.0,0.626442243039501
34,13f7d51df20a8dc66,True,,,,,,,,,,0.0,1.0,0.5,1.0,0.8045004258250077,0.0,0.0,1.0,1.0,0.0
35,c58481114df532967,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.30928484330390243,1.0,1.0,1.0,1.0,0.7841515135324695
36,8f3bf4b1cb4be05f8,True,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
37,188fef8a871d3bb74,True,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
38,38d50c91468fbe6e5,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.06972843073511611,1.0,0.0,1.0,1.0,0.5842901346047238
39,431df46346088a1de,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.29411411991585545,1.0,0.0,1.0,1.0,0.6544106624737048
40,6d342222e4d9d2b2a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5826312387903286,1.0,1.0,1.0,1.0,0.8695722621219777
41,5913dfbc435fb100c,True,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
42,eb16cfaf356e80f1f,True,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
43,57e7f219c88ab8fe0,True,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
44,8aea1806b6e406159,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6690074732744428,1.0,1.0,1.0,1.0,0.8965648353982634
45,4876fb179a00309b5,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.3098179652309392,1.0,1.0,1.0,1.0,0.7843181141346685
46,4a5ea5d6a2735531c,True,,,,,,,,,,1.0,1.0,0.0,1.0,0.9827328749184623,1.0,0.0,1.0,1.0,0.0
47,73bd1fde4cf4bbd5a,True,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
48,ae4f3518384257a07,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.0892318651610723,1.0,1.0,1.0,1.0,0.7153849578628351
49,c6f215cb7b0d88628,True,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
50,026597b466e481724,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.2518553121747277,1.0,0.0,1.0,1.0,0.6412047850546024
51,6333f19e87ad08122,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
52,6c04df27e5264b20b,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,3c8afefbaf08142c1,True,,,,,,,,,,0.0,0.0,0.0,1.0,0.9942013381364787,0.0,0.0,1.0,0.0,0.0
54,ecefe6eb9d594a685,True,,,,,,,,,,1.0,1.0,0.0,1.0,0.9827328749184623,1.0,0.0,1.0,1.0,0.0
55,a31ca4af2bc4ff90a,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
56,e7ae2cd68d33a847e,True,,,,,,,,,,1.0,0.0,0.0,1.0,0.7495886481852385,1.0,1.0,1.0,1.0,0.0
57,bffe666f9175e93c1,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.13852072827652465,1.0,0.0,1.0,0.0,0.48078772758641397
58,c9c198442a1efdc10,True,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
