,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,4d1e72e6a45853c3,True,1.0,1.0,1.0,1.0,0.3031757432854123,1.0,1.0,1.0,0.0,0.6572424197766913
1,59cc5d51c60d5a1d,True,1.0,1.0,1.0,1.0,0.47135517976221014,1.0,1.0,1.0,0.0,0.7097984936756907
2,3ffea9df17af502b,True,1.0,1.0,1.0,1.0,0.3025350995114945,1.0,1.0,0.0,,0.6080482498255337
3,0f206a62842b59b2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
4,0f3d66a03c5e500b,True,1.0,1.0,1.0,1.0,0.26159943715024486,1.0,1.0,0.0,0.0,0.5192498241094515
5,627ed4c9950753e9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
6,d5cf4595a3435917,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
7,dc952092ef6a5243,True,1.0,1.0,1.0,1.0,0.11100741750964914,1.0,1.0,1.0,1.0,0.7221898179717654
8,6f2baa8c8c8e5942,True,1.0,1.0,1.0,1.0,0.4410043702114777,1.0,1.0,1.0,0.0,0.7003138656910868
9,76dd2e9ad6f753b8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
10,3ec484ccad125e99,True,1.0,1.0,1.0,1.0,0.255362921677742,1.0,1.0,0.0,0.0,0.5173009130242944
11,1541f285d1525ca0,True,1.0,1.0,1.0,1.0,0.35568424782718067,1.0,1.0,0.0,0.0,0.548651327445994
12,ce2de8af70e05a57,True,1.0,1.0,1.0,1.0,0.2950934384464323,1.0,1.0,0.0,0.0,0.5297166995145102
13,d4849a52aaa55a9f,True,1.0,1.0,1.0,1.0,0.4520108232875394,1.0,0.0,1.0,0.0,0.5787533822773561
14,d484aff53cd1589f,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
15,96a0bbef8c335c3e,True,1.0,1.0,1.0,1.0,0.36587670979443,1.0,1.0,0.0,0.0,0.5518364718107593
16,43cc094e7af0518e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,662212c87d0d5b09,True,1.0,1.0,1.0,1.0,0.15083743523177764,1.0,1.0,1.0,0.0,0.6096366985099305
18,066c0c3f45915cba,True,1.0,1.0,1.0,1.0,0.5011430183849716,1.0,1.0,0.0,,0.6789796494232041
19,71629f355b5e5b19,True,1.0,1.0,1.0,1.0,0.4471856131505467,1.0,1.0,1.0,0.0,0.7022455041095459
20,2cc421e9b3fd5c17,True,1.0,1.0,1.0,1.0,0.3318215842444808,1.0,1.0,0.0,0.0,0.5411942450764002
21,ce27f725951058f3,True,1.0,1.0,1.0,1.0,0.3726037975030072,1.0,1.0,0.0,0.0,0.5539386867196898
22,40508dfbe0f35d8e,True,1.0,1.0,1.0,1.0,0.21928235773546562,0.0,1.0,0.0,,0.22117227061980915
23,ccce59bb3b3a5c29,True,1.0,1.0,1.0,1.0,0.5070413883722231,1.0,1.0,0.0,0.0,0.5959504338663197
24,4e5e09ac14395d70,True,1.0,1.0,1.0,1.0,0.2663845824195318,0.0,1.0,0.0,0.0,0.20824518200610367
25,0df6533b550c58c1,True,1.0,1.0,1.0,1.0,0.4032016572220056,1.0,1.0,1.0,0.0,0.6885005178818768
26,7bbb6cfc4f135e50,True,1.0,1.0,1.0,1.0,0.2699045449227189,1.0,1.0,0.0,,0.5963944803295425
27,05769097cb6c5b91,True,1.0,1.0,1.0,1.0,0.21086564499872615,1.0,1.0,0.0,0.0,0.5033955140621019
28,27209d511a785510,True,1.0,1.0,1.0,1.0,0.29074298941032906,1.0,1.0,1.0,0.0,0.6533571841907279
29,685e5e9083185108,True,1.0,1.0,1.0,1.0,0.47932348180077117,1.0,1.0,1.0,0.0,0.712288588062741
30,23d0ae8aedf8537b,True,1.0,1.0,1.0,1.0,0.32910312809597764,1.0,1.0,0.0,,0.6175368314628492
31,2fec62bc2f325559,True,1.0,1.0,1.0,1.0,0.3439565656802052,1.0,1.0,0.0,0.0,0.5449864267750641
32,8cafe946e9c752fc,True,1.0,1.0,1.0,1.0,0.2711885250730949,1.0,1.0,0.0,0.0,0.5222464140853421
33,c87001c4251e559a,True,1.0,1.0,1.0,1.0,0.3325452083307345,1.0,1.0,1.0,,0.7616232886895481
34,3789d42ea83f569d,True,1.0,1.0,1.0,1.0,0.3738218290339315,1.0,1.0,1.0,0.0,0.6793193215731036
35,137f854539c45fe1,True,1.0,1.0,1.0,1.0,0.2791525489071947,1.0,1.0,0.0,0.0,0.5247351715334984
36,82e565141eb55f88,True,1.0,1.0,1.0,1.0,0.4669439847404847,1.0,1.0,1.0,0.0,0.7084199952314014
37,57730912486a5853,True,1.0,1.0,1.0,1.0,0.24410992106924279,1.0,1.0,0.0,0.0,0.5137843503341384
38,9bfa838de21f5d25,True,1.0,1.0,1.0,1.0,0.21080011371983234,0.0,1.0,0.0,0.0,0.1908750355374476
39,93e2f4fc13a35269,True,1.0,1.0,1.0,1.0,0.421875854677025,1.0,1.0,1.0,0.0,0.6943362045865703
40,b547cd052795562c,True,1.0,1.0,1.0,1.0,0.30539175765236987,1.0,1.0,1.0,0.0,0.6579349242663656
41,bd4be260be50516f,True,1.0,1.0,1.0,1.0,0.47667975803759655,1.0,1.0,0.0,0.0,0.5864624243867489
42,31602c26eedc5f7e,True,1.0,1.0,1.0,1.0,0.2781879410637904,0.0,1.0,0.0,0.0,0.2119337315824345
43,5380625bddba59a2,True,1.0,1.0,1.0,1.0,0.017788105454008517,1.0,1.0,1.0,1.0,0.6930587829543777
44,9090d50c08b05715,True,1.0,0.0,1.0,1.0,0.44379932258211824,1.0,1.0,0.0,0.0,0.0
45,77ee60147e0e55b7,True,1.0,1.0,1.0,1.0,0.25095232017592944,1.0,1.0,0.0,0.0,0.5159226000549779
46,69976d75e3a5521e,True,1.0,0.0,1.0,1.0,0.4729556125255419,1.0,1.0,1.0,0.0,0.0
47,6469176632cf52a0,True,1.0,1.0,1.0,1.0,0.38487168104372615,1.0,1.0,0.0,0.0,0.5577724003261644
48,ce3ff067f10b526b,True,1.0,0.0,1.0,1.0,0.28937227088361467,1.0,1.0,0.0,0.0,0.0
49,2601ffe0d2a056be,True,1.0,1.0,1.0,1.0,0.4439503022074213,1.0,1.0,1.0,0.0,0.7012344694398192
50,6227e5b0f0d4592e,True,1.0,1.0,1.0,1.0,0.14793471463662503,1.0,1.0,1.0,,0.6956909695130804
51,099ff4835ee45eb6,True,1.0,1.0,1.0,1.0,0.28469796191976726,1.0,1.0,0.0,0.0,0.5264681130999272
52,a1e689b17ca65053,True,1.0,1.0,1.0,1.0,0.20748403767328358,1.0,1.0,0.0,0.0,0.5023387617729012
53,d2789ec30aaa5d6a,True,1.0,1.0,1.0,1.0,0.2581870403367261,1.0,1.0,0.0,0.0,0.5181834501052269
54,65729e98f81a526e,True,1.0,1.0,1.0,1.0,0.45302035729619405,1.0,1.0,1.0,0.0,0.7040688616550607
55,b043b68462d7540c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
56,b27bfe84cc545daa,True,1.0,1.0,1.0,1.0,0.46761937456057284,1.0,1.0,1.0,0.0,0.708631054550179
57,105e820419e05224,True,1.0,1.0,1.0,1.0,0.2890218139428894,1.0,1.0,0.0,,0.6032220764081748
58,03ec8e118cb0541d,True,1.0,1.0,1.0,1.0,0.4621745518127135,1.0,1.0,1.0,0.0,0.706929547441473
59,871164a7e40652b5,True,1.0,1.0,1.0,1.0,0.2861012578592629,1.0,1.0,1.0,0.0,0.6519066430810196
60,0e681d3870795a3a,True,1.0,1.0,1.0,1.0,0.4693633438132153,1.0,1.0,1.0,0.0,0.7091760449416298
61,ee8e4ad158ef5a8d,True,1.0,1.0,1.0,1.0,0.352682380031091,1.0,1.0,0.0,0.0,0.5477132437597159
62,385e44b3382350f1,True,1.0,1.0,1.0,1.0,0.5195544334018696,1.0,1.0,1.0,0.0,0.7248607604380842
63,97ade9e6fa5e5646,True,1.0,1.0,1.0,1.0,0.4339720869040123,1.0,1.0,1.0,0.0,0.6981162771575038
64,a4c23fa815945fe3,True,1.0,1.0,1.0,1.0,0.3021971161066502,1.0,1.0,0.0,,0.6079275414666608
65,a7c6cc3a1840584f,True,1.0,1.0,1.0,1.0,0.14584938727026056,1.0,1.0,1.0,1.0,0.7330779335219564
66,5feede5c5a3c5116,True,1.0,1.0,1.0,1.0,0.22064960181295643,1.0,1.0,0.0,0.0,0.5064530005665488
67,cc4a4dc2afc75aed,True,1.0,1.0,1.0,1.0,0.44135249075738825,1.0,1.0,1.0,0.0,0.7004226533616839
68,79984c4826f653fd,True,1.0,1.0,1.0,1.0,0.08834855948577844,1.0,0.0,1.0,1.0,0.5901089248393058
69,14769a8e472350cc,True,1.0,1.0,1.0,1.0,0.44039079237514045,1.0,1.0,1.0,,0.8001395687054073
70,586c5b66ad8158ee,True,1.0,1.0,1.0,1.0,0.23894965410100913,1.0,1.0,1.0,0.0,0.6371717669065653
71,c49e7550cee75722,True,0.0,1.0,1.0,1.0,0.1351534017773355,1.0,1.0,1.0,1.0,0.0
72,b5efcbfe3c6f5888,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6875
73,8569121235665be9,True,1.0,1.0,1.0,1.0,0.4544931770739304,1.0,1.0,1.0,0.0,0.7045291178356032
74,2bc2525a4ee95ef4,True,1.0,0.0,1.0,1.0,0.4753435287114078,1.0,1.0,1.0,0.0,0.0
75,7fc1ce68acb7562c,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,0.6428571428571429
76,7602906d3c785da3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
77,3b185264ec565b67,True,1.0,1.0,1.0,1.0,0.14879704482926498,1.0,1.0,1.0,0.0,0.6089990765091453
78,9b3a284d78f458f3,True,1.0,1.0,1.0,1.0,0.2623618405249909,0.0,1.0,0.0,,0.23655780018749675
79,f3521da962a75e3d,True,1.0,1.0,1.0,1.0,0.30826743449415506,1.0,1.0,0.0,0.0,0.5338335732794235
80,aecf8e9ea11c5a06,True,1.0,1.0,1.0,1.0,0.27932636786400833,1.0,1.0,0.0,0.0,0.5247894899575026
81,1db38f4b73ac5b62,True,1.0,1.0,1.0,1.0,0.05058263627564843,1.0,1.0,1.0,1.0,0.7033070738361401
82,29143e2319415eec,True,0.0,1.0,1.0,1.0,0.13129506279912898,1.0,1.0,1.0,1.0,0.0
83,eb6c8a396bb75a89,True,1.0,1.0,1.0,1.0,0.11641374917439372,1.0,1.0,1.0,1.0,0.723879296616998
84,d7ff11915cdf538e,True,1.0,1.0,1.0,1.0,0.25309478984164785,1.0,1.0,0.0,0.0,0.516592121825515
85,cab75d9e74eb52a1,True,1.0,1.0,1.0,1.0,0.39977712780769914,1.0,1.0,1.0,0.0,0.6874303524399059
86,afe269451bc757e1,True,1.0,1.0,1.0,1.0,0.392277240307364,1.0,1.0,1.0,0.0,0.6850866375960513
87,18a85f2812b45525,True,1.0,1.0,1.0,1.0,0.04259048963361475,1.0,1.0,1.0,1.0,0.7008095280105047
88,aa2918eb684351bd,True,1.0,1.0,1.0,1.0,0.07934772092456524,1.0,1.0,1.0,1.0,0.7122961627889266
89,1ebfee14fc925d6e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
90,c07f609f83b85dd6,True,1.0,1.0,1.0,1.0,0.300646629268328,1.0,1.0,0.0,0.0,0.5314520716463524
91,2035406a3a6955be,True,1.0,1.0,1.0,1.0,0.35605037557933417,1.0,1.0,1.0,0.0,0.6737657423685419
92,9e0633fbdeac55bb,True,1.0,1.0,1.0,1.0,0.21518356196923738,1.0,1.0,0.0,0.0,0.5047448631153867
93,4f7b03242ab05a2d,True,1.0,1.0,1.0,1.0,0.206699349174378,1.0,1.0,0.0,,0.5738211961337064
94,ab94d64d31ea5435,True,1.0,1.0,1.0,1.0,0.43647901489390256,1.0,0.0,1.0,0.0,0.5738996921543446
95,9bdf0d338d625e2a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
96,b72042b4093250c8,True,1.0,1.0,1.0,1.0,0.46789208942935756,1.0,1.0,1.0,0.0,0.7087162779466742
97,3dc6b109b480502f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
98,c5e8daf69c6552a7,True,1.0,1.0,1.0,1.0,0.28144948578789103,1.0,1.0,0.0,0.0,0.525452964308716
99,5d058c203f765173,True,1.0,1.0,1.0,1.0,0.45581817702205957,1.0,1.0,1.0,0.0,0.7049431803193936
100,bdfdf52ac60755a9,True,1.0,1.0,1.0,1.0,0.2682857008320221,0.0,1.0,0.0,0.0,0.2088392815100069
101,e52c457d50455d0c,True,1.0,1.0,1.0,1.0,0.2891560029875727,1.0,1.0,0.0,0.0,0.5278612509336165
102,873a21c038f45eef,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
103,0c54c8dfbe56567f,True,1.0,1.0,1.0,1.0,0.2890467925899185,1.0,1.0,0.0,0.0,0.5278271226843495
104,06bdef9a9bbc5aaf,True,1.0,1.0,1.0,1.0,0.2876061706712557,1.0,1.0,1.0,0.0,0.6523769283347673
105,ee380d59f0f450c6,True,1.0,1.0,1.0,1.0,0.20704073841124226,1.0,1.0,0.0,0.0,0.5022002307535132
106,1975d15fde2955ff,True,1.0,1.0,1.0,1.0,0.2095723162785632,1.0,1.0,0.0,,0.5748472558137726
107,713c5a168c2452dc,True,1.0,1.0,1.0,1.0,0.1377153046220631,1.0,1.0,1.0,0.0,0.6055360326943947
108,d792515ce4b257a4,True,1.0,1.0,1.0,1.0,0.24291551582999366,1.0,1.0,1.0,0.0,0.638411098696873
109,19cee80b71525f86,True,1.0,1.0,1.0,1.0,0.2998080505672666,1.0,1.0,0.0,0.0,0.5311900158022709
110,7eff17574e8d53d2,True,1.0,1.0,1.0,1.0,0.2811080799522299,0.0,1.0,0.0,0.0,0.21284627498507186
111,17ecb960d15d5b5f,True,1.0,1.0,1.0,1.0,0.3977153534962063,1.0,1.0,1.0,0.0,0.6867860479675645
112,db817c126780531f,True,1.0,1.0,1.0,1.0,0.13910170312079054,1.0,1.0,1.0,1.0,0.730969282225247
113,5218653349a6502a,True,1.0,1.0,1.0,1.0,0.2762979829977561,0.0,1.0,0.0,0.0,0.21134311968679878
114,7bacd3cec5df553f,True,1.0,1.0,1.0,1.0,0.47194057603272616,1.0,1.0,1.0,0.0,0.709981430010227
115,c2cf2b10f7e953c4,True,1.0,1.0,1.0,1.0,0.46870889420229817,1.0,1.0,1.0,0.0,0.7089715294382182
116,9164913b818a58b1,True,1.0,0.0,1.0,1.0,0.22312319544498155,1.0,0.0,1.0,0.0,0.0
117,5bd2bc00e2d358e0,True,1.0,1.0,1.0,1.0,0.029297544588932866,1.0,1.0,1.0,,0.6533205516389046
118,0088dd94bbb85394,True,1.0,1.0,1.0,1.0,0.21027707490161693,0.0,1.0,0.0,0.0,0.1907115859067553
