file,clip_id,episode_id,ok,bytes,n_raw,n_decoded,n_bad_frames,n_const_frames_sampled,T_out,nlab,hours,image_size,n_stack,quality,mean_v,max_v,min_v,stop_frac,dist_m,net_head,cum_head,junction,stopped,city,hw,lk,tl,tr,ac,bs,lk2,tl2,tr2,ac2,bs2,has_stop,has_brake,has_turn,n_nan_poses,n_nan_actions
7dd33315-993e-4892-b11d-03501b306282.v2ep.pt,7dd33315-993e-4892-b11d-03501b306282,929326131,True,2227663,201,201,0,0,199,179,0.005527777777777777,256,3,90,8.081239700317383,10.981412887573242,4.802946090698242,0.0,160.81667480468752,61.200093227580034,288.1689595736396,1,0.0,1.0,0.0,20,95,58,0,6,25,84,40,8,22,0,1,1,0,0
7dda4e93-7c26-4445-947b-b4b2447d3152.v2ep.pt,7dda4e93-7c26-4445-947b-b4b2447d3152,929326177,True,2113359,201,201,0,0,199,179,0.005527777777777777,256,3,90,15.191068649291992,24.707134246826172,11.752870559692383,0.0,302.3022705078125,50.20607047536577,51.07133249980132,0,0.0,0.04522613063454628,0.9547738432884216,40,0,70,69,0,90,0,0,89,0,0,0,1,0,0
7def6add-819d-4236-aa13-00d9fadb6d3d.v2ep.pt,7def6add-819d-4236-aa13-00d9fadb6d3d,929326438,True,2207631,201,201,0,0,199,179,0.005527777777777777,256,3,90,15.837008476257324,19.621828079223633,12.710509300231934,0.0,315.15646972656253,36.82863955189721,77.77332868256254,1,0.0,0.0,1.0,55,22,46,43,13,60,0,14,72,33,0,1,1,0,0
7dfad12a-46ed-4cf6-b074-eaab87786337.v2ep.pt,7dfad12a-46ed-4cf6-b074-eaab87786337,929326689,True,2392783,201,201,0,0,199,179,0.005527777777777777,256,3,90,13.225350379943848,16.004152297973633,10.18290901184082,0.0,263.18447265625,33.93560364591159,67.70785648763317,0,0.0,0.3668341636657715,0.6331658363342285,91,35,9,26,18,103,0,0,26,50,0,1,1,0,0
7dfb13b2-7c1c-4fa3-8a4d-32608633f74c.v2ep.pt,7dfb13b2-7c1c-4fa3-8a4d-32608633f74c,929326690,True,2958159,201,201,0,0,199,179,0.005527777777777777,256,3,90,2.5358095169067383,4.712484836578369,0.0,0.2964824140071869,50.46260986328125,2.4111660600412215,4.227012832024132,0,0.311557799577713,0.6884422302246094,0.0,133,0,0,46,0,133,0,0,46,0,1,0,0,0,0
7e0b6d85-4acc-41c1-b87d-126feb8fd0b6.v2ep.pt,7e0b6d85-4acc-41c1-b87d-126feb8fd0b6,929378402,True,3033103,201,201,0,0,199,179,0.005527777777777777,256,3,90,13.44558334350586,13.795140266418457,12.812474250793457,0.0,267.56711425781253,20.991657508307068,29.870889768945304,0,0.0,0.0,1.0,155,24,0,0,0,179,0,0,0,0,0,0,1,0,0
7e121a1d-096f-4dba-b62c-825c30bfd84c.v2ep.pt,7e121a1d-096f-4dba-b62c-825c30bfd84c,929378610,True,2578895,201,201,0,0,199,179,0.005527777777777777,256,3,90,7.131107807159424,8.599498748779297,2.506201982498169,0.0,141.90904541015627,15.618211084474638,200.81571684424387,1,0.0,1.0,0.0,18,96,65,0,0,35,86,58,0,0,0,0,1,0,0
7e145616-a5a1-4c4c-be01-c987de11ce9e.v2ep.pt,7e145616-a5a1-4c4c-be01-c987de11ce9e,929378612,True,3504015,200,200,0,0,198,178,0.0055000000000000005,256,3,90,2.0226354598999023,13.00589656829834,0.0,0.7272727489471436,40.04818420410157,24.069750559665014,24.094708070892242,0,0.7373737096786499,0.21212121844291687,0.05050504952669144,126,19,0,0,33,126,0,0,0,52,1,1,1,0,0
7e1ab0d1-6311-4cc0-a4af-8dc5bdb6f856.v2ep.pt,7e1ab0d1-6311-4cc0-a4af-8dc5bdb6f856,929378657,True,2246735,201,201,0,0,199,179,0.005527777777777777,256,3,90,18.546594619750977,19.76883888244629,17.680282592773438,0.0,369.0772216796875,2.295694881932986,60.045026276660835,0,0.0,0.0,1.0,108,36,35,0,0,179,0,0,0,0,0,0,1,0,0
7e2e498d-2743-439f-b525-b6ac0386ba82.v2ep.pt,7e2e498d-2743-439f-b525-b6ac0386ba82,929378917,True,2160015,201,201,0,0,199,179,0.005527777777777777,256,3,90,8.021839141845703,12.178979873657227,6.207006931304932,0.0,159.6345947265625,131.26455622416435,246.94994272514987,1,0.0,0.9899497628211975,0.01005025114864111,19,93,48,0,19,38,86,23,4,28,0,1,1,0,0
