-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.22%     259.435ms        25.92%        5.523s     114.043us        2.804s        22.99%        2.842s      58.676us         48432  
                                               aten::mm         1.65%     350.543ms         5.40%        1.151s      62.088us        2.713s        22.24%        2.713s     146.329us         18539  
                                            aten::addmm         1.28%     271.740ms         2.09%     446.356ms      59.034us        1.338s        10.97%        1.338s     176.951us          7561  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_relu_f2f_st...         0.00%       0.000us         0.00%       0.000us       0.000us        1.218s         9.99%        1.218s       2.496ms           488  
                                             aten::add_         0.79%     167.612ms         6.77%        1.441s      42.416us        1.147s         9.41%        1.147s      33.764us         33984  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     795.685ms         6.52%     795.685ms      41.457us         19193  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     754.564ms         6.19%     754.564ms       3.144ms           240  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     718.980ms         5.89%     718.980ms     261.733us          2747  
                       aten::native_layer_norm_backward         0.18%      39.319ms         2.25%     480.084ms     142.500us     668.227ms         5.48%     968.216ms     287.390us          3369  
                                              aten::add         0.51%     107.795ms         2.45%     522.288ms      58.942us     658.414ms         5.40%     658.419ms      74.305us          8861  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     636.239ms         5.22%     636.239ms     187.074us          3401  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     549.014ms         4.50%     549.014ms      25.130us         21847  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     506.886ms         4.16%     506.886ms       2.640ms           192  
                                aten::native_layer_norm         0.42%      89.864ms         1.83%     388.949ms     107.772us     505.878ms         4.15%     924.371ms     256.129us          3609  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us     505.878ms         4.15%     505.878ms     140.171us          3609  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     484.664ms         3.97%     484.664ms      32.917us         14724  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     472.687ms         3.88%     472.687ms       7.386ms            64  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us     448.795ms         3.68%     448.795ms     133.213us          3369  
                        aten::_flash_attention_backward         0.01%       2.669ms         1.28%     273.390ms       2.087ms     434.448ms         3.56%     552.432ms       4.217ms           131  
                                             aten::gelu         0.48%     102.485ms         0.89%     190.366ms      95.517us     387.786ms         3.18%     387.786ms     194.574us          1993  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     387.786ms         3.18%     387.786ms     194.574us          1993  
         ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nt         0.00%       0.000us         0.00%       0.000us       0.000us     326.131ms         2.67%     326.131ms       3.397ms            96  
                                              aten::sum         0.46%      98.697ms         2.65%     563.591ms      64.293us     318.240ms         2.61%     318.240ms      36.304us          8766  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     308.744ms         2.53%     308.744ms      26.796us         11522  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     302.519ms         2.48%     302.519ms     104.425us          2897  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.307s
Self CUDA time total: 12.197s
