[fals] mode=dinorand {"encoder_class": "facebook/dinov2-base", "init": "RANDOM (untrained)", "params": 86580480, "patch": 14, "hidden": 768, "n_prefix_tokens": 1, "external_input_hw": [224, 560], "aspect_ratio_src_dst": [0.4, 0.4]}
[fals] 8/2809  0.0 min  5.3 row/s
[fals] 208/2809  0.1 min  23.4 row/s
[fals] 408/2809  0.3 min  21.3 row/s
[fals] 608/2809  0.5 min  21.5 row/s
[fals] 808/2809  0.6 min  21.5 row/s
[fals] 1008/2809  0.8 min  21.5 row/s
[fals] 1208/2809  1.0 min  21.2 row/s
[fals] 1408/2809  1.1 min  21.2 row/s
[fals] 1608/2809  1.2 min  21.5 row/s
[fals] 1808/2809  1.4 min  21.5 row/s
[fals] 2008/2809  1.5 min  21.9 row/s
[fals] 2208/2809  1.7 min  21.8 row/s
[fals] 2408/2809  1.8 min  21.9 row/s
[fals] 2608/2809  2.0 min  22.0 row/s
[fals] 2808/2809  2.1 min  22.2 row/s
[fals] DONE dinorand 2809 rows, d_model 2304, 126.3 s -> C:/Users/Admin/AppData/Local/Temp/claude/G--Meine-Ablage-SayBouBase-raw-Projects-TanitAD/8fc25020-a1d5-4e1b-a9e2-aeccf845c5a2/scratchpad/eenc/tok_dinorand.pt
