Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[encloc] arm=wide3f model=facebook/dinov2-base patch=14 -> input 224x560 (16x40=640 tokens)
[encloc] crop cols [0:640] of 640 => hfov 120.00 deg (source 120.0); aspect 0.4000 -> 0.4000 isotropic; sub_frames=all
Loading weights:   0%|          | 0/223 [00:00<?, ?it/s]Loading weights: 100%|██████████| 223/223 [00:00<00:00, 10427.08it/s]
[encloc] 8/2809  0.0 min  19.1 row/s
[encloc] 208/2809  0.1 min  32.2 row/s
[encloc] 408/2809  0.2 min  32.5 row/s
[encloc] 608/2809  0.3 min  32.6 row/s
[encloc] 808/2809  0.4 min  32.6 row/s
[encloc] 1008/2809  0.5 min  32.5 row/s
[encloc] 1208/2809  0.6 min  32.5 row/s
[encloc] 1408/2809  0.7 min  32.2 row/s
[encloc] 1608/2809  0.8 min  32.2 row/s
[encloc] 1808/2809  0.9 min  32.3 row/s
[encloc] 2008/2809  1.0 min  32.3 row/s
[encloc] 2208/2809  1.1 min  32.2 row/s
[encloc] 2408/2809  1.2 min  32.3 row/s
[encloc] 2608/2809  1.3 min  32.3 row/s
[encloc] 2808/2809  1.4 min  32.3 row/s
[encloc] DONE wide3f: 2809 rows, d_model 2304, 87.0 s -> C:/Users/Admin/AppData/Local/Temp/claude/G--Meine-Ablage-SayBouBase-raw-Projects-TanitAD/8fc25020-a1d5-4e1b-a9e2-aeccf845c5a2/scratchpad/encloc/tok_wide3f.pt
