
  E-DEC-54 — THE EGO CENSUS NULL, MEASURED
  20 clips · real targets · RANDOM latent d=2048 · 30 seeds
  every t below is a draw from the null: the latent carries NOTHING

   seed     speed_t   yawrate_t    dv_4tick  dyaw_4tick
  -------------------------------------------------------
      0       -0.28       -0.16       -0.42       -0.31
      1        2.21        0.28        1.63        0.40
      2        0.47       -0.41        0.74       -0.29
      3        2.80       -0.35       -0.86       -0.78
      4       -1.07        1.69        0.29        2.93
      5        0.00        0.22       -0.70        1.12
      6        2.56        0.48       -0.84        0.54
      7       -0.75       -0.37        0.58       -1.09
      8       -0.33       -1.89        1.98       -2.57
      9        0.90        0.52       -0.65       -0.11
     10        0.64        0.17        1.14       -0.10
     11        1.54        1.49       -0.12        1.58
     12       -0.01        0.71        0.40        1.13
     13       -0.21       -0.11        1.18       -0.18
