[model] step=21109 target_space=frozen
[refav1-labels] v7.2 join: labels 141/141 eps (0 missing), 2961/9443 windows in-band +-[2.0]s, md5=aa12c948f062181c3297265b51526ec5 | nav 141/141 eps (0 missing -> nav_cmd=0+nav_valid=False), md5=aa12c948f062181c3297265b51526ec5, allow_oracle_nav=True
[grid] eval-grid windows=282  swept=24 (every 12th)  episodes=141
[settings] ['S0_shipped', 'S3_both_zero', 'S4_jerk_zero', 'S5_kap_zero', 'S6_chord_shipw', 'S7_chord_rescal', 'S8_rebalance']
[1/24] 563s  (562.8s/window, 80.4s/plan)
[2/24] 1120s  (559.9s/window, 80.0s/plan)
[3/24] 1677s  (558.9s/window, 79.8s/plan)
[4/24] 2234s  (558.4s/window, 79.8s/plan)
[5/24] 2791s  (558.1s/window, 79.7s/plan)
[6/24] 3348s  (557.9s/window, 79.7s/plan)
[7/24] 3905s  (557.8s/window, 79.7s/plan)
[8/24] 4461s  (557.7s/window, 79.7s/plan)
[9/24] 5018s  (557.6s/window, 79.7s/plan)
[10/24] 5575s  (557.5s/window, 79.6s/plan)
[11/24] 5883s  (534.8s/window, 76.4s/plan)
[12/24] 6138s  (511.5s/window, 73.1s/plan)
[13/24] 6393s  (491.8s/window, 70.3s/plan)
[14/24] 6648s  (474.9s/window, 67.8s/plan)
[15/24] 6903s  (460.2s/window, 65.7s/plan)
[16/24] 7158s  (447.4s/window, 63.9s/plan)
[17/24] 7413s  (436.1s/window, 62.3s/plan)
[18/24] 7668s  (426.0s/window, 60.9s/plan)
[19/24] 7923s  (417.0s/window, 59.6s/plan)
[20/24] 8178s  (408.9s/window, 58.4s/plan)
[21/24] 8433s  (401.6s/window, 57.4s/plan)
[22/24] 8688s  (394.9s/window, 56.4s/plan)
[23/24] 8943s  (388.8s/window, 55.5s/plan)
[24/24] 9198s  (383.3s/window, 54.8s/plan)
[done] 24 windows x 7 settings -> /home/nvidia/refav1_evalrun/cost_sweep_main.json (9198s)
