[lateral] cells 6996  test rows 2974

| arm | 0-15 m | 15-30 m | 30-45 m | 45-60 m |
|---|---|---|---|---|
| `orc_16x40@prog|s0` | 1.185 m | 1.346 m | 1.711 m | 2.205 m |
| `orc_16x40@prog|s1` | 1.188 m | 1.375 m | 1.726 m | 2.190 m |
| `orc_16x40@wpa|s0` | 1.193 m | 1.347 m | 1.715 m | 2.197 m |
| `orc_16x40@wpa|s1` | 1.181 m | 1.381 m | 1.711 m | 2.180 m |
| `orc_16x4@prog|s0` | 1.626 m | 2.258 m | 2.871 m | 2.948 m |
| `orc_16x4@wpa|s0` | 1.641 m | 2.246 m | 2.860 m | 2.955 m |
| `orc_1x1@prog|s0` | 5.129 m | 4.545 m | 4.190 m | 4.638 m |
| `orc_1x1@prog|s1` | 5.151 m | 4.510 m | 4.214 m | 4.622 m |
| `orc_1x1@wpa|s0` | 5.118 m | 4.550 m | 4.184 m | 4.634 m |
| `orc_1x1@wpa|s1` | 5.127 m | 4.531 m | 4.201 m | 4.626 m |
| `orc_4x2@prog|s0` | 2.926 m | 3.276 m | 3.548 m | 3.330 m |
| `orc_4x2@wpa|s0` | 2.929 m | 3.283 m | 3.545 m | 3.325 m |
| `orc_4x40@prog|s0` | 1.948 m | 1.983 m | 2.700 m | 2.804 m |
| `orc_4x40@wpa|s0` | 1.935 m | 1.975 m | 2.701 m | 2.799 m |
| `orc_4x4@prog|s0` | 2.121 m | 2.665 m | 3.433 m | 3.298 m |
| `orc_4x4@prog|s1` | 2.126 m | 2.691 m | 3.495 m | 3.279 m |
| `orc_4x4@wpa|s0` | 2.104 m | 2.674 m | 3.445 m | 3.282 m |
| `orc_4x4@wpa|s1` | 2.128 m | 2.681 m | 3.493 m | 3.282 m |
| `orc_4x8@prog|s0` | 2.000 m | 2.110 m | 2.954 m | 3.087 m |
| `orc_4x8@wpa|s0` | 1.973 m | 2.110 m | 2.942 m | 3.051 m |
| `orc_8x20@prog|s0` | 1.302 m | 1.805 m | 2.559 m | 2.916 m |
| `orc_8x20@prog|s1` | 1.352 m | 1.812 m | 2.564 m | 2.900 m |
| `orc_8x20@wpa|s0` | 1.281 m | 1.793 m | 2.554 m | 2.916 m |
| `orc_8x20@wpa|s1` | 1.340 m | 1.819 m | 2.586 m | 2.910 m |
| `pos_only@prog|s0` | 5.078 m | 4.479 m | 4.175 m | 4.648 m |
| `pos_only@prog|s1` | 5.079 m | 4.479 m | 4.176 m | 4.658 m |
| `pos_only@wpa|s0` | 5.078 m | 4.479 m | 4.175 m | 4.648 m |
| `pos_only@wpa|s1` | 5.079 m | 4.479 m | 4.176 m | 4.658 m |
| `xwire_16x40_r|s0` | 5.470 m | 4.956 m | 4.659 m | 5.107 m |
| `xwire_16x40|s0` | 5.488 m | 4.956 m | 4.655 m | 5.067 m |
| `xwire_8x20|s0` | 5.499 m | 5.021 m | 4.540 m | 5.105 m |
