[s1] join   /home/nvidia/percprobe/raw/b1train_agents.jsonl.xz
[s1] md5    1c985e6d6ad34e605c4ebd30cb353558  (0.8 s)
[s1] spec   {'n_az': 20, 'n_rng': 24, 'r_max_m': 60.0, 'hfov_deg': 120.0, 'r_min_m': 0.0, 'sub_r': 2, 'sub_az': 3, 'shape': [24, 20], 'dr_m': 2.5, 'daz_deg': 6.0, 'n_cells': 480}
[s1] 500 frames  0s  shadow 0.3409  pos_sup 0.05857
[s1] 1000 frames  1s  shadow 0.1972  pos_sup 0.02842
[s1] 1500 frames  1s  shadow 0.2132  pos_sup 0.03898
[s1] 2000 frames  1s  shadow 0.2049  pos_sup 0.03772
[s1] 2500 frames  1s  shadow 0.2032  pos_sup 0.03623
[s1] 3000 frames  1s  shadow 0.1781  pos_sup 0.03173
[s1] 3500 frames  2s  shadow 0.1880  pos_sup 0.03362
[s1] 4000 frames  2s  shadow 0.1949  pos_sup 0.03527
[s1] 4500 frames  3s  shadow 0.1895  pos_sup 0.03412
[s1] 5000 frames  3s  shadow 0.1912  pos_sup 0.03416
[s1] 5500 frames  3s  shadow 0.1807  pos_sup 0.03179
[s1] 6000 frames  3s  shadow 0.1712  pos_sup 0.03015
[s1] 6500 frames  4s  shadow 0.1838  pos_sup 0.03316
[s1] 7000 frames  4s  shadow 0.1904  pos_sup 0.03411
[s1] 7500 frames  4s  shadow 0.1845  pos_sup 0.03293
[s1] 8000 frames  5s  shadow 0.2001  pos_sup 0.03562
[s1] 8500 frames  5s  shadow 0.1975  pos_sup 0.03557
[s1] 9000 frames  5s  shadow 0.1929  pos_sup 0.03454
[s1] 9500 frames  6s  shadow 0.2073  pos_sup 0.03754
[s1] 10000 frames  6s  shadow 0.2099  pos_sup 0.03783
[s1] 10500 frames  7s  shadow 0.2141  pos_sup 0.03833
[s1] 11000 frames  7s  shadow 0.2173  pos_sup 0.03871
[s1] 11500 frames  8s  shadow 0.2154  pos_sup 0.03878
[s1] 12000 frames  8s  shadow 0.2097  pos_sup 0.03753
[s1] 12500 frames  8s  shadow 0.2088  pos_sup 0.03746
[s1] 13000 frames  8s  shadow 0.2103  pos_sup 0.03742
[s1] 13500 frames  9s  shadow 0.2084  pos_sup 0.03729
[s1] 14000 frames  9s  shadow 0.2108  pos_sup 0.03775
[s1] 14500 frames  9s  shadow 0.2059  pos_sup 0.03668
[s1] 15000 frames  10s  shadow 0.2083  pos_sup 0.03738
[s1] 15500 frames  10s  shadow 0.2044  pos_sup 0.03671
[s1] 16000 frames  10s  shadow 0.1997  pos_sup 0.03585
[s1] 16500 frames  10s  shadow 0.1951  pos_sup 0.03491
[s1] 17000 frames  10s  shadow 0.1941  pos_sup 0.03483
[s1] 17500 frames  11s  shadow 0.1912  pos_sup 0.03434
[s1] 18000 frames  11s  shadow 0.1914  pos_sup 0.03417
[s1] 18500 frames  11s  shadow 0.1890  pos_sup 0.03355
[s1] 19000 frames  11s  shadow 0.1872  pos_sup 0.03315
[s1] 19500 frames  12s  shadow 0.1924  pos_sup 0.03411
[s1] 20000 frames  13s  shadow 0.1950  pos_sup 0.03467
[s1] 20500 frames  13s  shadow 0.1932  pos_sup 0.03438
[s1] 21000 frames  13s  shadow 0.1953  pos_sup 0.03520
[s1] 21500 frames  14s  shadow 0.1976  pos_sup 0.03575
[s1] 22000 frames  14s  shadow 0.1935  pos_sup 0.03498
[s1] 22500 frames  15s  shadow 0.1935  pos_sup 0.03518
[s1] 23000 frames  15s  shadow 0.1926  pos_sup 0.03509
[s1] 23500 frames  15s  shadow 0.1936  pos_sup 0.03532
[s1] 24000 frames  16s  shadow 0.1948  pos_sup 0.03552
[s1] 24500 frames  16s  shadow 0.1942  pos_sup 0.03534
[s1] 25000 frames  16s  shadow 0.1913  pos_sup 0.03495
[s1] 25500 frames  17s  shadow 0.1923  pos_sup 0.03518
[s1] 26000 frames  17s  shadow 0.1909  pos_sup 0.03482
