# H-DAC-DEF-1 SWEEP adjudication - Master Mind labels, made BLIND from the images alone.
# 58 sheets. The key was NOT consulted; it is held off-repo by the DataFlyWheel and its
# sha256 was published in raw/sweep_pack.json before any label existed.
# Same TIE-BREAK as the first pack, restated so the two are comparable:
#   label on-surface / over-boundary whenever the surface beneath the car's path is visible
#   in ANY panel; reserve cannot-tell for when it is visible in NONE. It LEANS TOWARD
#   on-surface and that caveat travels with the number.
# Procedure: panel B for the surface under the car, E for path shape, C and D for what it
# actually drove onto. Borderline calls carry the token BORDERLINE in the note.
# on-surface | over-boundary | cannot-tell
blind_id,label,note
S01,on-surface,following a truck; straight ~8 m in the running lane beside a hatched area
S02,on-surface,night motorway; straight ~145 m between the edge line and the lane marking
S03,on-surface,night city street; drifts right ~26 m between parked cars, stays on carriageway
S04,on-surface,snowy road; wide right curve ~57 m to -18 m lateral, on the cleared asphalt with snow on the verges only
S05,on-surface,night canal street; straight ~24 m between bike racks left and pavement right
S06,on-surface,city street in traffic; straight ~24 m inside a marked lane
S07,on-surface,rural/campus road with cones and a zebra ahead; straight ~22 m on asphalt
S08,on-surface,city street; straight ~41 m drifting left ~2.5 m between a tram fence and parked cars
S09,on-surface,city street; straight ~33 m drifting right ~2 m on carriageway
S10,on-surface,"BORDERLINE - dusk roundabout entry, hard left ~23 m lateral in 29 m; the arc's far dots draw over the kerbed island, which is the declared NO-DEPTH-TEST artifact, and the near footprint is on asphalt with D showing a normal completion"
S11,on-surface,multi-lane road with tram rails; straight ~44 m drifting RIGHT away from the rails
S12,on-surface,US highway; ~3.5 m of motion behind a van, inside the lane
S13,on-surface,road with a bus stop right; drifts LEFT ~7 m over 43 m, staying on carriageway
S14,on-surface,"road with a SEPARATED red cycle track beyond a kerb to the right; path drifts right ~1.5 m but the surface under it stays grey carriageway"
S15,on-surface,US city street; drifts RIGHT ~3.5 m over 40 m, near footprint on asphalt with the leaf-filled gutter further right
S16,on-surface,dusk junction; wide right curve ~36 m to -8 m lateral on carriageway
S17,on-surface,night narrow street; ~5 m of motion, footprint on carriageway
S18,on-surface,BORDERLINE - night right turn ~22 m lateral in 27 m; inside-corner kerb hard to resolve but the near footprint is on carriageway and D shows a normal completion
S19,on-surface,city street with parked cars both sides; straight ~28 m inside the lane
S20,on-surface,wet junction; straight ~46 m inside the lane
S21,on-surface,dusk snowy road; straight ~62 m on the cleared asphalt
S22,on-surface,sunny road behind a bus; straight ~35 m with a slight weave, on carriageway
S23,on-surface,city street; straight ~30 m drifting left ~2.5 m on carriageway
S24,on-surface,wet dusk junction at a red light; ~4 m of motion, footprint mostly below the frame, called from the asphalt visible in A/C/D
S25,on-surface,motorway; straight ~130 m inside the lane
S26,on-surface,night street past a filling station; straight ~35 m drifting right ~2.5 m on carriageway
S27,on-surface,very dark motorway; straight ~130 m inside the lit lane
S28,on-surface,BORDERLINE - wet city right turn ~22 m lateral in 21 m around a kerbed corner; the arc's far dots draw over the corner pavement (declared no-depth-test) and D shows a normal completion
S29,on-surface,rural road; straight ~68 m inside the lane
S30,on-surface,wet road with a grass verge left; straight ~28 m drifting right ~2 m past parked cars
S31,on-surface,BORDERLINE - large left turn ~25 m lateral in 27 m across a junction with a kerbed island; same no-depth-test artifact on the far arc
S32,on-surface,wide boulevard; straight ~52 m drifting right ~2.5 m on carriageway
S33,on-surface,dusk plaza junction; straight ~22 m on carriageway
S34,on-surface,night junction at a light; ~4 m of motion, footprint at the stop line with the grass verge well clear
S35,on-surface,dusk multi-lane road; straight ~36 m inside the lane
S36,on-surface,BORDERLINE - snowy night right curve ~10 m lateral in 23 m; snow banks both sides, path stays on the cleared carriageway and D confirms
S37,on-surface,US city street; right curve ~52 m to -6 m lateral on carriageway
S38,on-surface,motorway lane change; drifts LEFT ~10 m over 110 m, both lanes carriageway
S39,on-surface,junction; straight ~17 m inside the lane
S40,on-surface,night town centre; straight ~36 m on carriageway
S41,on-surface,night left turn ~9.6 m lateral in 14 m; footprints on paved carriageway throughout
S42,on-surface,rural road; wide LEFT curve ~21 m over 68 m, guardrail right, path on the asphalt
S43,on-surface,rural lane; straight ~26 m centred on the asphalt
S44,on-surface,rural road; straight ~35 m drifting left ~1.5 m
S45,on-surface,night dual carriageway; straight ~103 m inside the lane
S46,on-surface,night city junction; ~7 m of motion with a lateral shift across a crossing, footprints on carriageway
S47,on-surface,snowy night road; straight ~52 m on the cleared lane
S48,on-surface,night snowy road; straight ~75 m on the cleared lane
S49,on-surface,snowy motorway; straight ~85 m inside the lane
S50,on-surface,night hillside street with parked cars; straight ~31 m on carriageway
S51,on-surface,BORDERLINE - night right turn ~28 m lateral in 46 m onto a slip road; a grass gore sits inside the curve and the far arc draws over it (no-depth-test)
S52,on-surface,motorway; drifts LEFT ~2.5 m over 110 m between lanes
S53,cannot-tell,"STATIONARY manoeuvre in a snow-covered CAR PARK beside parked cars; the footprint is entirely below the frame so NO overlay appears in A or B, and the roadway/parking boundary is invisible under snow - the surface beneath the path is not shown in any panel"
S54,on-surface,US junction; straight ~30 m inside the lane
S55,on-surface,wet rural road; straight ~63 m inside the lane
S56,on-surface,BORDERLINE - snow-covered residential access road; path curves right ~6 m in 22 m, lane edges invisible under snow but the surface is plainly the road the parked cars line
S57,on-surface,rural road with a guardrail left; straight ~43 m on carriageway
S58,on-surface,night village street; straight ~34 m on carriageway
