# leak scan over 306152 known clip ids (+ their 8-hex prefixes and 12-hex tails)
# control GOALS_AND_CLAIMS.md at tip 6a052cb: {'full_ids': 1, 'prefixes': 38, 'tails': 2}  (must read > 0 prefixes)
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  dac_anatomy.cpython-313.pyc
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  dac_project.cpython-313.pyc
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  dac_render.cpython-313.pyc
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  adjudication_pack.py
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  dac_anatomy.py
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  dac_kerb_depth.py
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  dac_project.py
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  dac_render.py
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  LABELS_TEMPLATE.csv
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  clean_6adc10f58460_t60.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  clean_e01bd05b8e43_t104.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  median_83df0bab7763_t18.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  median_9855363e1ac1_t13.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  median_9d92cb2360a4_t24.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  median_b6ba8d3b06f3_t82.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  near-threshold_264a78e8fad1_t130.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  near-threshold_28f6781136b1_t113.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  near-threshold_6adc10f58460_t109.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  near-threshold_b9622e49a9ec_t30.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  worst_3db625a5f941_t14.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  worst_7be92e6870d8_t48.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  worst_b435685d40c8_t124.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  worst_e01bd05b8e43_t28.png
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W01.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W02.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W03.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W04.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W05.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W06.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W07.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W08.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W09.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W10.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W11.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W12.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W13.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W14.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W15.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W16.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W17.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W18.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W19.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W20.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W21.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W22.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W23.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W24.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W25.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W26.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W27.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W28.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W29.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W30.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W31.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W32.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W33.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W34.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W35.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W36.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W37.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W38.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W39.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W40.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W41.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W42.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W43.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W44.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W45.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W46.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W47.jpg
