-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        46.00%       24.400s        46.00%       24.400s     372.207us        8.165s        26.39%        8.165s     124.549us         65554  
                                       cudaLaunchKernel        27.74%       14.712s        36.88%       19.562s     195.826us       0.000us         0.00%        6.222s      62.284us         99896  
                                       cuLaunchKernelEx         6.81%        3.612s         8.91%        4.725s     229.808us       0.000us         0.00%        1.574s      76.534us         20560  
                                          ProfilerStep*         6.32%        3.351s        60.60%       32.147s       16.073s       0.000us         0.00%       17.857s        8.929s             2  
                                  cudaStreamSynchronize         3.68%        1.954s         3.68%        1.954s     905.497us       0.000us         0.00%       1.856us       0.001us          2158  
                                 aten::cudnn_batch_norm         1.90%        1.005s         5.51%        2.921s     275.400us        3.726s        12.04%        4.727s     445.635us         10608  
                             aten::convolution_backward         1.79%     950.208ms        15.41%        8.175s       1.621ms        5.963s        19.28%        5.975s       1.185ms          5042  
                                        cudaMemcpyAsync         1.02%     540.915ms         1.02%     541.486ms     217.290us       0.000us         0.00%       5.472us       0.002us          2492  
                                aten::cudnn_convolution         0.74%     393.782ms         9.18%        4.870s     456.524us        6.272s        20.27%       11.605s       1.088ms         10668  
                                          ReluBackward0         0.59%     312.082ms         9.98%        5.293s       1.101ms       0.000us         0.00%        9.689s       2.015ms          4808  
                                            aten::empty         0.42%     221.904ms         0.42%     221.904ms       3.236us       0.000us         0.00%       0.000us       0.000us         68568  
                                      aten::convolution         0.26%     139.396ms         9.55%        5.065s     474.776us       0.000us         0.00%       11.642s       1.091ms         10668  
                                CudnnBatchNormBackward0         0.22%     114.657ms         3.40%        1.801s     360.757us       0.000us         0.00%        3.370s     675.042us          4992  
                                             aten::add_         0.21%     109.973ms        11.02%        5.847s     257.375us        4.434s        14.33%        5.308s     233.684us         22716  
                                             aten::relu         0.17%      90.770ms         3.52%        1.867s     183.030us       0.000us         0.00%        3.795s     372.018us         10200  
                                        aten::clamp_min         0.16%      83.903ms         3.35%        1.776s     166.737us        2.980s         9.63%        3.795s     356.240us         10654  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.15%      81.055ms         9.85%        5.224s       1.046ms       0.000us         0.00%        3.390s     679.045us          4992  
autograd::engine::evaluate_function: ConvolutionBack...         0.15%      79.668ms        19.07%       10.113s       2.006ms       0.000us         0.00%        7.448s       1.477ms          5042  
                       aten::native_batch_norm_backward         0.10%      52.323ms         3.18%        1.686s     337.789us        3.370s        10.89%        3.370s     675.042us          4992  
                                   ConvolutionBackward0         0.09%      48.654ms        15.50%        8.224s       1.631ms       0.000us         0.00%        5.975s       1.185ms          5042  
