-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       32.084s       103.71%       32.084s        5.347s             6  
                                    Command Buffer Full        46.00%       24.400s        46.00%       24.400s     372.207us        8.165s        26.39%        8.165s     124.549us         65554  
                                aten::cudnn_convolution         0.74%     393.782ms         9.18%        4.870s     456.524us        6.272s        20.27%       11.605s       1.088ms         10668  
                             aten::convolution_backward         1.79%     950.208ms        15.41%        8.175s       1.621ms        5.963s        19.28%        5.975s       1.185ms          5042  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        4.446s        14.37%        4.446s     195.993us         22686  
                                             aten::add_         0.21%     109.973ms        11.02%        5.847s     257.375us        4.434s        14.33%        5.308s     233.684us         22716  
                                 aten::cudnn_batch_norm         1.90%        1.005s         5.51%        2.921s     275.400us        3.726s        12.04%        4.727s     445.635us         10608  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float,...         0.00%       0.000us         0.00%       0.000us       0.000us        3.726s        12.04%        3.726s     351.251us         10608  
                       aten::native_batch_norm_backward         0.10%      52.323ms         3.18%        1.686s     337.789us        3.370s        10.89%        3.370s     675.042us          4992  
void at::native::batch_norm_backward_kernel<float, f...         0.00%       0.000us         0.00%       0.000us       0.000us        3.370s        10.89%        3.370s     675.042us          4992  
                                        aten::clamp_min         0.16%      83.903ms         3.35%        1.776s     166.737us        2.980s         9.63%        3.795s     356.240us         10654  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        2.980s         9.63%        2.980s     280.435us         10626  
                               aten::threshold_backward         0.07%      38.598ms         3.11%        1.649s     342.938us        2.261s         7.31%        2.261s     470.277us          4808  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        2.261s         7.31%        2.261s     470.277us          4808  
cutlass3x_sm100_tensorop_s256x256x8tf32gemm_f32_f32_...         0.00%       0.000us         0.00%       0.000us       0.000us        2.190s         7.08%        2.190s     389.940us          5616  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us        2.141s         6.92%        2.141s     147.850us         14478  
void cudnn::engines_precompiled::nhwcToNchwKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us        1.193s         3.86%        1.193s     154.468us          7724  
cutlass3x_sm100_tensorop_s128x128x8tf32implicit_gemm...         0.00%       0.000us         0.00%       0.000us       0.000us     813.769ms         2.63%     813.769ms     249.164us          3266  
