-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        33.97%        9.309s        33.97%        9.309s     284.606us        2.151s        13.45%        2.151s      65.759us         32707  
                                       cudaLaunchKernel        23.71%        6.499s        34.47%        9.448s      46.145us       0.000us         0.00%        2.017s       9.850us        204740  
                                          ProfilerStep*        16.84%        4.616s        63.87%       17.504s        8.752s       0.000us         0.00%        8.265s        4.133s             2  
                                  cudaStreamSynchronize         3.18%     871.357ms         3.18%     871.357ms     403.780us       0.000us         0.00%       0.000us       0.000us          2158  
                                              aten::mul         2.95%     807.097ms        12.09%        3.312s      80.030us     420.337ms         2.63%     449.331ms      10.856us         41390  
                                       cuLaunchKernelEx         2.40%     657.511ms         2.66%     728.756ms      35.445us       0.000us         0.00%     125.940ms       6.125us         20560  
                                        cudaMemcpyAsync         1.99%     544.999ms         1.99%     544.999ms     218.699us       0.000us         0.00%       0.000us       0.000us          2492  
                                          ReluBackward0         1.35%     369.505ms        21.97%        6.022s       1.252ms       0.000us         0.00%        5.264s       1.095ms          4808  
                                aten::cudnn_convolution         1.21%     330.548ms         2.67%     732.239ms      68.639us        2.617s        16.36%        3.225s     302.315us         10668  
                             aten::convolution_backward         1.03%     282.418ms         4.40%        1.205s     238.913us        2.356s        14.73%        2.802s     555.661us          5042  
                                        cudaMemsetAsync         0.73%     199.348ms         0.74%     201.462ms      32.009us       0.000us         0.00%       3.528ms       0.561us          6294  
                                             aten::add_         0.64%     175.587ms         5.25%        1.438s      37.518us        5.067s        31.67%        6.059s     158.144us         38316  
                                              aten::div         0.63%     172.505ms         4.59%        1.257s      78.799us      71.568ms         0.45%      72.593ms       4.549us         15958  
                                      aten::convolution         0.60%     163.305ms         5.85%        1.604s     150.332us       0.000us         0.00%        6.639s     622.357us         10668  
                                              aten::sum         0.51%     138.434ms         2.38%     652.739ms      54.035us     493.473ms         3.08%     493.705ms      40.870us         12080  
                                    aten::empty_strided         0.48%     132.569ms         0.48%     132.569ms       3.938us       0.000us         0.00%       0.000us       0.000us         33664  
                                            aten::copy_         0.47%     127.786ms         6.28%        1.722s      51.018us     963.857ms         6.03%        1.020s      30.225us         33758  
                                             aten::relu         0.42%     116.446ms         3.20%     876.317ms      85.913us       0.000us         0.00%        1.917s     187.899us         10200  
                                           MulBackward0         0.37%     101.373ms         1.80%     493.704ms      44.833us       0.000us         0.00%     180.762ms      16.415us         11012  
                                              aten::sub         0.36%      98.841ms         3.81%        1.044s      94.904us      41.146ms         0.26%      42.194ms       3.835us         11002  
                                              aten::add         0.36%      97.352ms         2.56%     700.813ms      54.521us      73.610ms         0.46%      78.450ms       6.103us         12854  
