-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       17.449s       109.08%       17.449s        2.908s             6  
                                             aten::add_         0.64%     175.587ms         5.25%        1.438s      37.518us        5.067s        31.67%        6.059s     158.144us         38316  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        2.802s        17.51%        2.802s     261.728us         10704  
                                aten::cudnn_convolution         1.21%     330.548ms         2.67%     732.239ms      68.639us        2.617s        16.36%        3.225s     302.315us         10668  
                             aten::convolution_backward         1.03%     282.418ms         4.40%        1.205s     238.913us        2.356s        14.73%        2.802s     555.661us          5042  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        2.168s        13.55%        2.168s     442.195us          4902  
                                    Command Buffer Full        33.97%        9.309s        33.97%        9.309s     284.606us        2.151s        13.45%        2.151s      65.759us         32707  
                                        aten::clamp_min         0.29%      80.550ms         2.76%     756.975ms      71.051us        1.476s         9.22%        1.917s     179.963us         10654  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.475s         9.22%        1.475s     144.593us         10200  
                               aten::threshold_backward         0.14%      37.414ms         0.80%     217.968ms      45.334us        1.174s         7.34%        1.174s     244.084us          4808  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.125s         7.03%        1.125s     239.097us          4704  
                                            aten::copy_         0.47%     127.786ms         6.28%        1.722s      51.018us     963.857ms         6.03%        1.020s      30.225us         33758  
         nvjet_sm110_tst_128x192_64x7_2x1_2cta_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     555.683ms         3.47%     555.683ms     201.773us          2754  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     494.936ms         3.09%     494.936ms       2.080ms           238  
                                              aten::sum         0.51%     138.434ms         2.38%     652.739ms      54.035us     493.473ms         3.08%     493.705ms      40.870us         12080  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     429.251ms         2.68%     429.251ms      85.988us          4992  
                                              aten::mul         2.95%     807.097ms        12.09%        3.312s      80.030us     420.337ms         2.63%     449.331ms      10.856us         41390  
cutlass3x_sm100_tensorop_s128x128x16implicit_gemm_fp...         0.00%       0.000us         0.00%       0.000us       0.000us     413.137ms         2.58%     413.137ms     144.656us          2856  
