clip_ord,chunk,split_release,wheelbase_true_m,platform_class,country
0,177,train,2.73000001907349,hyperion_8.1,Sweden
1,175,train,3.16499996185303,hyperion_8,Sweden
2,175,train,3.16499996185303,hyperion_8,Sweden
3,1445,test,3.13499999046326,hyperion_8.1,Estonia
4,865,train,3.21600008010864,hyperion_8.1,Denmark
5,137,train,3.16499996185303,hyperion_8,France
6,2309,test,3.16499996185303,hyperion_8,Italy
7,891,train,3.21600008010864,hyperion_8.1,Belgium
8,2826,train,2.73000001907349,hyperion_8.1,Spain
9,783,train,3.21600008010864,hyperion_8.1,Austria
10,2162,val,3.13499999046326,hyperion_8.1,Latvia
11,1880,train,3.16499996185303,hyperion_8,Netherlands
12,176,train,3.16499996185303,hyperion_8,Sweden
13,171,train,3.16499996185303,hyperion_8,Austria
14,371,test,3.16499996185303,hyperion_8,Netherlands
15,1894,train,3.16499996185303,hyperion_8,Belgium
16,927,train,2.73000001907349,hyperion_8.1,Hungary
17,746,train,2.73000001907349,hyperion_8.1,Portugal
18,2476,train,3.21600008010864,hyperion_8.1,Netherlands
19,160,train,3.16499996185303,hyperion_8,Belgium
