# stdout of eval/xwalk_reproj_contrast.py (every 2nd frame; CAM_FW, CAM_CL, CAM_CR; all-7-camera maps), 2026-09-14
# bar_over_gap = image white top-hat on the map's crosswalk pixels / on the road pixels of the same crossing; identical crossing pixels for every map
# night clip
v6.1 nearest {'bar_tophat': 9.05, 'gap_tophat': 7.19, 'bar_over_gap': 1.259, 'bar_px': 314957, 'gap_px': 1137682, 'bar_share_of_crossing_px': 0.217}
v6.5s {'bar_tophat': 11.15, 'gap_tophat': 7.26, 'bar_over_gap': 1.536, 'bar_px': 257316, 'gap_px': 1344529, 'bar_share_of_crossing_px': 0.161}
d0 delivered {'bar_tophat': 11.62, 'gap_tophat': 7.52, 'bar_over_gap': 1.544, 'bar_px': 111681, 'gap_px': 1465374, 'bar_share_of_crossing_px': 0.071}
q windowed periodic fit {'bar_tophat': 8.65, 'gap_tophat': 7.71, 'bar_over_gap': 1.121, 'bar_px': 271337, 'gap_px': 1334998, 'bar_share_of_crossing_px': 0.169}
p whole-crossing periodic fit {'bar_tophat': 8.25, 'gap_tophat': 7.71, 'bar_over_gap': 1.07, 'bar_px': 473426, 'gap_px': 1132909, 'bar_share_of_crossing_px': 0.295}
n image-evidence stripes {'bar_tophat': 11.01, 'gap_tophat': 7.29, 'bar_over_gap': 1.511, 'bar_px': 252898, 'gap_px': 1353437, 'bar_share_of_crossing_px': 0.157}
r7 along-stripe join 0.7 m {'bar_tophat': 11.53, 'gap_tophat': 7.55, 'bar_over_gap': 1.527, 'bar_px': 130233, 'gap_px': 1476102, 'bar_share_of_crossing_px': 0.081}
r11 along-stripe join 1.1 m (delivered r) {'bar_tophat': 11.43, 'gap_tophat': 7.53, 'bar_over_gap': 1.517, 'bar_px': 139445, 'gap_px': 1466890, 'bar_share_of_crossing_px': 0.087}
s2 image stripes, bar-shaped only, + votes {'bar_tophat': 11.61, 'gap_tophat': 7.56, 'bar_over_gap': 1.536, 'bar_px': 124121, 'gap_px': 1482214, 'bar_share_of_crossing_px': 0.077}
u r on near-paint fields (<= 12 m) {'bar_tophat': 10.19, 'gap_tophat': 7.75, 'bar_over_gap': 1.315, 'bar_px': 88270, 'gap_px': 1520527, 'bar_share_of_crossing_px': 0.055}
# day clip
v6.1 nearest {'bar_tophat': 17.17, 'gap_tophat': 10.79, 'bar_over_gap': 1.591, 'bar_px': 320991, 'gap_px': 1735426, 'bar_share_of_crossing_px': 0.156}
v6.5s {'bar_tophat': 22.56, 'gap_tophat': 10.2, 'bar_over_gap': 2.212, 'bar_px': 164918, 'gap_px': 1856042, 'bar_share_of_crossing_px': 0.082}
d0 delivered {'bar_tophat': 24.86, 'gap_tophat': 10.33, 'bar_over_gap': 2.405, 'bar_px': 75284, 'gap_px': 1836728, 'bar_share_of_crossing_px': 0.039}
q windowed periodic fit {'bar_tophat': 13.25, 'gap_tophat': 10.13, 'bar_over_gap': 1.308, 'bar_px': 492818, 'gap_px': 1422904, 'bar_share_of_crossing_px': 0.257}
p whole-crossing periodic fit {'bar_tophat': 10.57, 'gap_tophat': 11.1, 'bar_over_gap': 0.952, 'bar_px': 623429, 'gap_px': 1292299, 'bar_share_of_crossing_px': 0.325}
n image-evidence stripes {'bar_tophat': 21.42, 'gap_tophat': 10.13, 'bar_over_gap': 2.115, 'bar_px': 136352, 'gap_px': 1779363, 'bar_share_of_crossing_px': 0.071}
r7 along-stripe join 0.7 m {'bar_tophat': 24.54, 'gap_tophat': 10.27, 'bar_over_gap': 2.389, 'bar_px': 88661, 'gap_px': 1827067, 'bar_share_of_crossing_px': 0.046}
r11 along-stripe join 1.1 m (delivered r) {'bar_tophat': 24.33, 'gap_tophat': 10.19, 'bar_over_gap': 2.387, 'bar_px': 100067, 'gap_px': 1815661, 'bar_share_of_crossing_px': 0.052}
s2 image stripes, bar-shaped only, + votes {'bar_tophat': 24.24, 'gap_tophat': 10.33, 'bar_over_gap': 2.346, 'bar_px': 82401, 'gap_px': 1833327, 'bar_share_of_crossing_px': 0.043}
u r on near-paint fields (<= 12 m) {'bar_tophat': 24.44, 'gap_tophat': 10.71, 'bar_over_gap': 2.283, 'bar_px': 42346, 'gap_px': 1904861, 'bar_share_of_crossing_px': 0.022}
