# leak scan over 306152 known clip ids (+ their 8-hex prefixes and 12-hex tails)
# control GOALS_AND_CLAIMS.md: {'full_ids': 1, 'prefixes': 38, 'tails': 2}  (must read > 0 prefixes)
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  leak_scan.py
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  mutation_audit.py
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  rebuild_v7_list.py
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  verify_floor.py
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  mutation_audit.json
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  mutation_audit.txt
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  pytest_clipid_scan.txt
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  rebuild_list.txt
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  verify_floor.json
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  verify_floor.txt
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  RESULT.md
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  clipid_scan.py
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  test_clipid_scan.py
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  clipid_baseline.json
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  RESULT.md
# files 15 | hits 0 | GATE PASS
