n,sha12,label,grounded,frame_time_s,verdict,notes
1,cd8c62c4eff1,RED,False,5.10,,
2,1ffcfbc5548a,RED,False,5.10,,
3,723fa46ff260,RED,True,5.11,,
4,283b651ba9f6,RED,False,5.11,,
5,dbfa8e5aa5f1,RED,False,5.10,,
6,fff7827257d3,RED,False,5.09,,
7,6e175d54b62d,RED,False,5.09,,
8,843e83e0c0a3,RED,False,5.09,,
9,f330298f534a,RED,False,5.10,,
10,b99cdd1b1cd9,RED,False,5.10,,
11,59cf98e81d6a,RED,False,5.10,,
12,10a6c3d9c587,RED,False,5.09,,
13,118ebd6a38b4,RED,True,5.09,,
14,8def76f55401,RED,False,5.09,,
15,26f9c5b76d94,GREEN,False,5.09,,
16,b7f4ed5ce947,GREEN,False,5.11,,
17,0aad3d25eebb,GREEN,False,5.09,,
18,72e38c74520a,GREEN,False,5.09,,
19,c4f498037469,GREEN,False,5.09,,
20,e7fab6fd4685,GREEN,False,5.09,,
21,0b0b4d51fcae,GREEN,False,5.08,,
22,85d40f2e4398,GREEN,False,5.10,,
23,0184f64720f4,GREEN,False,5.09,,
24,0f76ac66a466,GREEN,False,5.09,,
25,e5e1fd5f42cc,GREEN,False,5.11,,
26,e01bd05b8e43,GREEN,False,5.09,,
27,ae48ced00a72,GREEN,False,5.09,,
28,d1c824dff571,GREEN,False,5.09,,
29,6a93c13298c9,YELLOW,False,5.10,,
30,b5d9b91e6637,YELLOW,True,5.11,,
31,1ffc5924f26b,YELLOW,True,5.10,,
32,6ad168dc58db,YELLOW,False,5.10,,
33,ecab43e9072b,YELLOW,True,5.10,,
34,c8ff44d63612,YELLOW,False,5.11,,
35,48489d1b08d6,YELLOW,True,5.09,,
36,43ac3253c6a3,YELLOW,False,5.11,,
37,73399b7a9773,YELLOW,False,5.11,,
38,a44ec68b6157,YELLOW,True,5.11,,
39,244f78ab9f83,YELLOW,False,5.11,,
40,8ed3abbba1f7,YELLOW,False,5.11,,
41,2174ca4e268a,colourless,False,5.09,,
42,1aa0712d89e5,colourless,False,5.11,,
43,02094073847f,colourless,False,5.11,,
44,d23edd3d2498,colourless,False,5.11,,
45,f33569756edd,colourless,True,5.09,,
46,423a862141a6,colourless,False,5.10,,
47,f2741dfafb92,colourless,False,5.10,,
48,0384547594c4,colourless,False,5.10,,
49,66f04d5f5aee,colourless,False,5.09,,
50,45df633636d9,colourless,True,5.11,,
