latent_704 done 19.9
latent_7040 done 72.7
pixel_1440 done 82.9
latent_704|raw 0.4875 [0.4446, 0.529]
latent_704|diag 0.5032 [0.4592, 0.5431]
latent_704|pca64 0.5238 [0.4898, 0.5568]
C_const|latent_704_diag 0.0 [0.0, 0.0]
C_shuf|latent_704_diag -0.0072 [-0.0209, 0.0074]
C_mut|latent_704_diag -0.0018 [-0.012, 0.0088]
latent_7040|raw 0.5193 [0.4785, 0.5596]
latent_7040|diag 0.5637 [0.5293, 0.5961]
latent_7040|pca64 0.5239 [0.4882, 0.5598]
pixel_1440|raw 0.5261 [0.4729, 0.5747]
pixel_1440|diag 0.5491 [0.4968, 0.5983]
pixel_1440|pca64 0.4819 [0.4319, 0.5313]
latent_704|raw_minus_pixel_1440|raw -0.0386 [-0.0995, 0.0192]
latent_704|diag_minus_pixel_1440|diag -0.046 [-0.0967, 0.0067]
latent_704|pca64_minus_pixel_1440|pca64 0.0419 [-0.0076, 0.0879]
latent_7040|raw_minus_pixel_1440|raw -0.0068 [-0.0615, 0.0489]
latent_7040|diag_minus_pixel_1440|diag 0.0146 [-0.0269, 0.0534]
latent_7040|pca64_minus_pixel_1440|pca64 0.042 [-0.0099, 0.0917]
RC=0
