### LF-normalised blob sha of each CRLF-on-Thor file, probed against the repo object store
### each probe bracketed by a same-breath control (HEAD:README.md); fields: lf_sha|verdict|ctrl_before/ctrl_after|path
ee43cbf2235cc96011472a6d649ec66a4e77cc68|PRESENT|OK/OK|stack/scripts/build_obstacle_join.py
e8bf3c5fbce477b7044e6b9298459b33c21ca37c|PRESENT|OK/OK|stack/scripts/g_tac_geom_census.py
ff18515035da7bb40bac6b36b1ba646751725e13|PRESENT|OK/OK|stack/scripts/refa_v1_train.py
a837322ab2600c001133d15a1258b38138802e19|PRESENT|OK/OK|stack/scripts/train_flagship4b.py
6f7389722f58e18924df1886bf4532bae634c20c|PRESENT|OK/OK|stack/scripts/train_stage_a.py
012d7e33d3bfd9447950eb42b544017c6f2b2bf4|PRESENT|OK/OK|stack/scripts/train_v58f_unicycle_head.py
073ace24202ca8959f5d16e68bd6ee3c6466a768|PRESENT|OK/OK|stack/scripts/v2_compressed.py
ae81289d4710f63c535f739fdd352db74a7ceec5|PRESENT|OK/OK|stack/tanitad/data/bev_raster.py
22616f3d8a408caaac3176e7a6f952862438c376|PRESENT|OK/OK|stack/tanitad/data/deployed_val40_clip_digests.json
665e585c673d7f38083db2be986f42915e09682f|PRESENT|OK/OK|stack/tanitad/data/parity.py
8eac035df3b29ff71bbaf60d0f37ae132db0804d|PRESENT|OK/OK|stack/tanitad/data/parity_train_clip_digests.json
ee61ea938f2a7ec249513e28d0029fe8ab2d6d5d|PRESENT|OK/OK|stack/tanitad/data/v2_dataset.py
302f8205a381563aff2319610761175998d90b13|PRESENT|OK/OK|stack/tanitad/models/sigreg.py
d7c79108419d7734bd4ff1d34693e8e36f395d16|PRESENT|OK/OK|taniteval/tools/t1_eval.py
