# NuRec scenes with a COMPLETE junction traversal (>=10 poses before entry AND after exit)
# MEASURED 2026-08-03, stage-1 survey of all 1607 scenes (results/nurec_survey_stage1.jsonl).
# T1 = |turn| >= 60 deg (a real junction turn) | T2 = 25..60 deg.
# These are candidates by GEOMETRY. Whether the ego's own lane had >=2 options is a
# map question -- run junction_probe.py / strategic_gt.py per scene (stage 2).
tier	turn_deg	scene_id	category	pose_span	poses_pre	poses_post	n_complete	n_traversals	path_m	n_poses
T1	158.94	4a2db3b3-105b-4b03-9ddc-fe5900098887	T_JUNCTION_ASYMMETRICAL	[67, 114]	67	87	1	1	186.66	202
T1	149.68	470c4ecc-8d6b-46dc-ba60-fd16888c5797	CUL_DE_SAC	[92, 171]	92	30	2	2	142.21	202
T1	142.21	302c5c99-2762-4f5d-950e-1122f3e7c20a	FOUR_WAY	[72, 106]	72	95	1	1	160.65	202
T1	132.4	b5d12506-227c-4461-b38e-d8ce2ec22247	ROUNDABOUT	[98, 182]	98	19	1	1	81.36	202
T1	124.16	213dfdac-3596-472d-8dc9-aaef6d0a7b92	T_JUNCTION_ASYMMETRICAL	[68, 131]	68	70	1	1	149.11	202
T1	123.53	7c72937c-c620-4776-9555-d57222c0081f	FOUR_WAY	[85, 141]	85	60	1	2	127.55	202
T1	118.94	1544b166-8f12-4481-a1c3-eeda51581e1a	T_JUNCTION	[58, 142]	58	59	1	1	142.32	202
T1	116.76	6bffbe09-1e0d-4ac3-833c-ca6178346e76	FOUR_WAY	[74, 137]	74	64	1	1	117.8	202
T1	115.44	1aa48b8a-a2d9-4540-8d7e-a6fafd5b0dca	FOUR_WAY	[112, 172]	112	29	1	1	87.63	202
T1	113.64	68abdefe-bd54-4b5e-95c6-a2e2eba6f51e	FOUR_WAY	[65, 147]	65	54	3	4	119.12	202
T1	111.39	c3d4065e-ee11-4fcc-a7f0-41b031316544	ROUNDABOUT	[28, 113]	28	88	1	1	216.27	202
T1	108.86	0d10d2e3-29ef-40cb-b612-94021d98245c	FOUR_WAY	[68, 133]	68	68	1	1	82.63	202
T1	107.33	fb36b704-9f73-43c2-b4ac-24c34d72a150	ROUNDABOUT	[11, 142]	11	59	2	3	191.08	202
T1	97.19	dffd4c04-92a8-468d-a362-cd3a98445da9	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[11, 146]	11	55	1	1	80.24	202
T1	96.97	185ee101-147e-4e76-af41-a0d8b4beb2fe	FOUR_WAY	[111, 172]	111	29	1	1	77.65	202
T1	96.69	f5e4e873-4c83-427c-a2d2-3c5179b2bae5	T_JUNCTION	[17, 63]	17	138	1	1	208.13	202
T1	95.55	3ce13eed-f97b-4c37-8716-a590569fab77	FOUR_WAY	[37, 112]	37	89	1	1	114.33	202
T1	93.79	7652eb53-0bc4-4f3e-8fd2-d24e84b7485c	FOUR_WAY	[19, 113]	19	88	2	2	118.78	202
T1	92.06	abd45a30-146a-40c0-9f78-9ce697ac3ade	FOUR_WAY_UNCONTROLLED_ASYMMETRICAL	[108, 170]	108	31	2	2	167.93	202
