no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,valid,log_name,frame_type,start_time,endpoint_x,endpoint_y,start_point_x,start_point_y,token
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,[1. 0. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,True,2021.09.29.19.02.14_veh-28_02911_03005,0,1632945157.7996979,331573.6676197552,4689333.0530617265,331601.721969442,4689330.118968012,5f53001e7e2d5347
0.0,1.0,1.0,1.0,0.4012560700026619,0.0,1.0,1.0,0.0,[0.40125607 0.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631804061.69993,587769.7737519777,4475625.008146319,587766.901092656,4475618.719899592,23d647e77f2d515e
1.0,1.0,1.0,1.0,0.583555746595438,1.0,1.0,1.0,1.0,[0.58355575 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.8512699094983708,True,2021.05.25.14.26.37_veh-27_04122_04279,0,1621971538.899724,664461.1356014154,3997780.8475382146,664461.2711821597,3997774.142845645,48fecfd582935aac
1.0,0.0,0.0,1.0,0.5656904538560459,1.0,0.0,1.0,0.0,[0.56569045 1.         0.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.09.16.17.40.09_veh-45_02539_02745,0,1631816795.89986,587617.6433795418,4475967.432449228,587642.3510978391,4475953.870038709,63ec67c4a58a5e5b
1.0,1.0,1.0,1.0,0.4499495846056005,1.0,1.0,1.0,1.0,[0.44994958 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.660696280216286,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803743.200199,587806.2881944486,4475848.344791439,587811.3690942964,4475845.987883533,bf00c76f25185b83
1.0,0.0,0.0,1.0,0.6519962709396142,1.0,0.0,1.0,0.0,[0.65199627 1.         0.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803788.2002969,587566.0748465154,4475920.724443258,587586.2416428756,4475933.846766666,b031a0b55ab951f8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,True,2021.05.25.14.16.10_veh-35_01690_02183,0,1621968768.500483,664432.8422115104,3998269.562864888,664432.4468349776,3998283.159416227,197f2dea642850e7
1.0,0.0,1.0,1.0,0.6191880273243542,1.0,1.0,1.0,0.0,[0.61918803 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.08.16.14.23.37_veh-45_00015_00132,0,1629123996.0000648,589084.1689943025,4474643.014089913,589099.5562945455,4474652.382707104,f289e368449b517b
1.0,1.0,1.0,1.0,0.31802170897236,1.0,1.0,1.0,1.0,[0.31802171 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.7564363246329856,True,2021.05.25.17.54.41_veh-35_04111_04288,0,1621983954.400126,664530.279977482,3998961.5950540868,664528.9080766515,3998957.8141137264,9ef1d618435d5e53
1.0,0.0,0.0,1.0,0.5976584483389404,1.0,1.0,1.0,0.0,[0.59765845 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803653.699924,588381.1802296799,4476004.772443224,588408.901673089,4475997.68834389,c7a44a2e52bc5e22
0.5,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,[1. 0. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,True,2021.06.03.12.02.06_veh-35_00233_00609,0,1622736824.000944,664209.8102083309,3997427.2014263524,664223.1415014409,3997415.6327069984,082ea12d7b2355cb
1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,[1. 1. 1. 0. 0.],[5. 5. 2. 2. 2.],0.0,True,2021.09.16.15.47.30_veh-45_01199_01391,0,1631808541.799821,587679.8282104764,4475507.032978158,587665.7316243496,4475511.410046936,131ab0263b07507c
1.0,1.0,1.0,1.0,0.44078865088796815,1.0,1.0,1.0,1.0,[0.44078865 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.8002816610314172,True,2021.09.16.13.53.10_veh-42_00860_01069,0,1631801376.8998969,587732.5191754441,4475584.341449819,587726.1773957422,4475589.709955371,622867ce25805447
