,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,5f53001e7e2d5347,True,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
1,23d647e77f2d515e,True,0.0,1.0,1.0,1.0,0.4012560700026619,0.0,1.0,1.0,0.0,,,,,,,,,,0.0
2,48fecfd582935aac,True,1.0,1.0,1.0,1.0,0.583555746595438,1.0,1.0,1.0,1.0,,,,,,,,,,0.8698611708110744
3,63ec67c4a58a5e5b,True,1.0,0.0,0.0,1.0,0.5656904538560459,1.0,0.0,1.0,0.0,,,,,,,,,,0.0
4,bf00c76f25185b83,True,1.0,1.0,1.0,1.0,0.4499495846056005,1.0,1.0,1.0,1.0,,,,,,,,,,0.8281092451892502
5,b031a0b55ab951f8,True,1.0,0.0,0.0,1.0,0.6519962709396142,1.0,0.0,1.0,0.0,,,,,,,,,,0.0
6,197f2dea642850e7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
7,f289e368449b517b,True,1.0,0.0,1.0,1.0,0.6191880273243542,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
8,9ef1d618435d5e53,True,1.0,1.0,1.0,1.0,0.31802170897236,1.0,1.0,1.0,0.0,,,,,,,,,,0.6618817840538624
9,c7a44a2e52bc5e22,True,1.0,0.0,0.0,1.0,0.5976584483389404,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
10,082ea12d7b2355cb,True,0.5,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
11,131ab0263b07507c,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,0.0
12,622867ce25805447,True,1.0,1.0,1.0,1.0,0.44078865088796815,1.0,1.0,1.0,0.0,,,,,,,,,,0.70024645340249
13,52b2e626eca85976,True,1.0,0.0,0.0,1.0,0.7858927653998842,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
14,bd2b1a4530a1538b,True,1.0,1.0,1.0,1.0,0.5074974158298131,1.0,1.0,1.0,1.0,,,,,,,,,,0.8460929424468167
