index,token,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,pdm_score,valid,log_name,frame_type,start_time,endpoint_x,endpoint_y,start_point_x,start_point_y,two_frame_extended_comfort,weight,score
0,5f53001e7e2d5347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,2021.09.29.19.02.14_veh-28_02911_03005,0,1632945157.7996979,331569.2305350048,4689339.519867053,331601.721969442,4689330.118968012,1.0,1.0,1.0
1,23d647e77f2d515e,1.0,1.0,1.0,1.0,0.13303174142928317,1.0,1.0,1.0,0.6903684790818868,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631804061.69993,587767.6464916173,4475620.340412469,587766.901092656,4475618.719899592,1.0,1.0,0.729072419196651
2,48fecfd582935aac,1.0,1.0,1.0,1.0,0.5707303079325612,1.0,1.0,1.0,0.8466893956902004,True,2021.05.25.14.26.37_veh-27_04122_04279,0,1621971538.899724,664461.2676202075,3997780.6897537,664461.2711821597,3997774.142845645,1.0,1.0,0.8658532212289254
3,63ec67c4a58a5e5b,1.0,0.0,0.5,1.0,0.5127057819774955,1.0,0.0,1.0,0.0,True,2021.09.16.17.40.09_veh-45_02539_02745,0,1631816795.89986,587624.1967088545,4475964.773028041,587642.3510978391,4475953.870038709,1.0,1.0,0.0
4,bf00c76f25185b83,1.0,1.0,1.0,1.0,0.7687171987693189,1.0,1.0,1.0,0.7745418567033282,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803743.200199,587801.2482455743,4475849.914994748,587811.3690942964,4475845.987883533,1.0,1.0,0.9277241246154122
5,b031a0b55ab951f8,1.0,0.0,0.0,1.0,0.7827539231597131,1.0,0.0,1.0,0.0,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803788.2002969,587582.1597410922,4475909.139988806,587586.2416428756,4475933.846766666,0.0,1.0,0.0
6,197f2dea642850e7,1.0,1.0,1.0,1.0,0.6799485384915368,1.0,1.0,1.0,0.8856959066041202,True,2021.05.25.14.16.10_veh-35_01690_02183,0,1621968768.500483,664432.5398397109,3998275.1295099324,664432.4468349776,3998283.159416227,1.0,1.0,0.8999839182786052
7,f289e368449b517b,1.0,1.0,1.0,1.0,0.5266304042883883,1.0,1.0,1.0,0.8309394301029958,True,2021.08.16.14.23.37_veh-45_00015_00132,0,1629123996.0000648,589086.9800591298,4474644.859563828,589099.5562945455,4474652.382707104,0.0,1.0,0.7270720013401213
8,9ef1d618435d5e53,1.0,1.0,1.0,1.0,0.7888490157733123,1.0,1.0,1.0,0.9245889342047544,True,2021.05.25.17.54.41_veh-35_04111_04288,0,1621983954.400126,664532.6963280401,3998967.988115227,664528.9080766515,3998957.8141137264,1.0,1.0,0.9340153174291601
9,c7a44a2e52bc5e22,0.0,0.0,0.0,1.0,0.8997207348301896,0.0,1.0,1.0,0.0,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803653.699924,588384.7254659456,4475979.765537848,588408.901673089,4475997.68834389,0.0,1.0,0.0
10,082ea12d7b2355cb,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,2021.06.03.12.02.06_veh-35_00233_00609,0,1622736824.000944,664206.0176209653,3997424.7895460064,664223.1415014409,3997415.6327069984,1.0,1.0,0.0
11,131ab0263b07507c,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,2021.09.16.15.47.30_veh-45_01199_01391,0,1631808541.799821,587682.0489599478,4475523.874243918,587665.7316243496,4475511.410046936,1.0,1.0,0.0
12,622867ce25805447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.09.16.13.53.10_veh-42_00860_01069,0,1631801376.8998969,587739.0144682316,4475578.689272174,587726.1773957422,4475589.709955371,1.0,1.0,1.0
13,52b2e626eca85976,1.0,0.0,1.0,1.0,0.7286300807067926,1.0,1.0,1.0,0.0,True,2021.10.06.07.26.10_veh-52_01245_02064,0,1633506530.700068,365565.4016012717,143110.29249509098,365578.21117485734,143081.00890142593,1.0,1.0,0.0
14,bd2b1a4530a1538b,1.0,1.0,1.0,1.0,0.7725547395359285,1.0,1.0,1.0,0.9187695498342602,True,2021.06.03.13.55.17_veh-35_02866_03582,0,1622746497.101438,664689.7767821789,3999283.950236946,664686.4140672752,3999277.3711911896,1.0,1.0,0.9289233561049777
15,76b708c365e45536,1.0,1.0,1.0,1.0,0.5529350749335201,1.0,1.0,1.0,0.8403339553334,True,2021.05.25.15.59.03_veh-30_04027_04200,0,1621976892.099305,664267.9111056435,3996285.1272933227,664273.2485855508,3996285.2849496137,1.0,1.0,0.860292210916725
16,8c689c4b2df55539,1.0,1.0,1.0,1.0,0.47660894590482067,1.0,1.0,1.0,0.813074623537436,True,2021.09.16.14.39.34_veh-42_00032_00186,0,1631803354.199699,589344.4647691918,4473901.079447946,589341.2441015403,4473908.403814199,1.0,1.0,0.8364402955952565
17,1b95b6689ee75fab,1.0,0.0,0.5,1.0,0.9140502958652426,1.0,1.0,1.0,0.0,True,2021.09.16.19.49.00_veh-42_00990_01609,0,1631822875.9998698,587615.824636916,4475652.450701957,587628.213629342,4475669.206859303,0.0,1.0,0.0
18,6326d00e52115da4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,True,2021.09.29.15.23.04_veh-28_00601_00802,0,1632929929.799788,330948.87101469113,4690826.817703316,330948.92186259746,4690826.7847428145,1.0,1.0,1.0
19,75857e1f177b5af4,1.0,0.0,1.0,1.0,0.6235383431480663,1.0,1.0,1.0,0.0,True,2021.10.06.08.16.17_veh-52_01949_02501,0,1633510278.699823,365734.9821741699,142949.1191666202,365717.4333640965,142965.6815608083,1.0,1.0,0.0
20,3af9cb4d21e15e9e,1.0,0.0,1.0,1.0,0.5533806826848714,1.0,1.0,1.0,0.0,True,2021.10.06.07.26.10_veh-52_01245_02064,0,1633506873.200646,365007.3921174938,143564.7681535037,364999.7983010121,143570.35984080462,1.0,1.0,0.0
21,ad34e2d0d3865530,1.0,1.0,1.0,1.0,0.5692471420447656,1.0,1.0,1.0,0.8461596935874163,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803908.7000148,587689.1234318413,4475754.198663253,587673.1368967636,4475761.3805430895,1.0,1.0,0.8653897318889893
22,2033fff7b44e56db,1.0,1.0,1.0,1.0,0.680502308826218,1.0,1.0,1.0,0.8858936817236494,True,2021.05.25.15.59.03_veh-30_04027_04200,0,1621976891.599604,664266.1902562268,3996285.0766834584,664273.6673850334,3996285.2938541477,1.0,1.0,0.9001569715081932
23,f9a9b5ee707e501e,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,True,2021.09.16.17.40.09_veh-45_02539_02745,0,1631816743.8997178,587712.4506439823,4475785.686223146,587693.2427707505,4475762.572318295,1.0,1.0,0.0
24,f025b78e77b25fba,0.5,0.0,0.0,1.0,0.6757386796594956,0.0,1.0,1.0,0.0,True,2021.06.28.20.24.43_veh-38_03385_04952,0,1624915998.5995848,664857.6082217218,3999597.146096247,664840.6582457046,3999577.0029349322,1.0,1.0,0.0
25,12f2dccfb88957f9,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,True,2021.09.29.18.19.40_veh-28_00844_01218,0,1632940775.599675,331271.89156543295,4691020.180283065,331255.5663450803,4691033.3700623615,1.0,1.0,0.0
26,fa2c36ce4ba156cb,0.0,0.0,0.0,1.0,0.7821160767646546,0.0,0.0,1.0,0.0,True,2021.08.30.13.45.25_veh-40_01116_01336,0,1630332368.0009859,331332.67009168386,4691002.277102526,331303.5884281832,4691003.251816596,0.0,1.0,0.0
27,aeeba19e19c35ccb,1.0,1.0,0.0,1.0,0.8120639130335197,1.0,1.0,1.0,0.0,True,2021.10.06.08.16.17_veh-52_01949_02501,0,1633510346.699674,365798.5962769022,143157.91639404077,365771.129813869,143176.27683722286,0.0,1.0,0.0
28,7b2f3235b4cb5374,1.0,0.0,0.5,1.0,0.7178896028568985,1.0,1.0,1.0,0.0,True,2021.10.06.08.16.17_veh-52_01949_02501,0,1633510278.19971,365735.41038805444,142947.49981505348,365714.714454585,142967.88392067223,1.0,1.0,0.0
29,442b2cf63c6f570a,1.0,1.0,1.0,1.0,0.6196855110285824,1.0,1.0,1.0,0.8641733967959223,True,2021.10.06.08.16.17_veh-52_00181_00574,0,1633508486.200079,365643.89037713525,143853.07310508064,365629.93832090584,143846.2094900477,1.0,1.0,0.881151722196432
30,635d0bb58aa95282,1.0,1.0,1.0,1.0,0.3220136792356696,1.0,1.0,1.0,0.7578620282984535,True,2021.09.16.13.53.10_veh-42_00180_00342,0,1631800739.399047,589093.0870106531,4474638.350553562,589095.2390163739,4474632.981519832,1.0,1.0,0.7881292747611468
31,eed801b1cd035275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,2021.08.30.13.45.25_veh-40_00878_01104,0,1630332223.000351,331709.0789670362,4690871.59453739,331698.8059221941,4690847.406903797,1.0,1.0,1.0
32,a7d3e71b8ca456a9,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,True,2021.06.28.20.24.43_veh-38_03385_04952,0,1624916864.099637,664457.3650470141,3998069.352002638,664457.0633565218,3998053.0608435655,1.0,1.0,0.0
33,67bce1e28df25eaa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2021.09.29.14.44.26_veh-28_00528_00992,0,1632927632.7996619,331639.5394922238,4690786.907391845,331637.1707501815,4690788.467162927,1.0,1.0,1.0
34,9191f3f8644d50cb,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,2021.08.30.13.45.25_veh-40_00878_01104,0,1630332136.500203,331751.99113411136,4690716.61313656,331772.98005190893,4690701.582464354,1.0,1.0,0.0
