no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,valid,log_name,frame_type,start_time,endpoint_x,endpoint_y,start_point_x,start_point_y,token
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,True,2021.09.29.19.02.14_veh-28_02911_03005,0,1632945157.7996979,331569.2305350048,4689339.519867053,331601.721969442,4689330.118968012,5f53001e7e2d5347
1.0,1.0,1.0,1.0,0.13303174142928317,1.0,1.0,1.0,1.0,[0.13303174 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.6903684790818868,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631804061.69993,587767.6464916173,4475620.340412469,587766.901092656,4475618.719899592,23d647e77f2d515e
1.0,1.0,1.0,1.0,0.5707303079325612,1.0,1.0,1.0,1.0,[0.57073031 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.8466893956902004,True,2021.05.25.14.26.37_veh-27_04122_04279,0,1621971538.899724,664461.2676202075,3997780.6897537,664461.2711821597,3997774.142845645,48fecfd582935aac
1.0,0.0,0.5,1.0,0.5127057819774955,1.0,0.0,1.0,0.0,[0.51270578 1.         0.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.09.16.17.40.09_veh-45_02539_02745,0,1631816795.89986,587624.1967088545,4475964.773028041,587642.3510978391,4475953.870038709,63ec67c4a58a5e5b
1.0,1.0,1.0,1.0,0.7687171987693189,1.0,1.0,1.0,1.0,[0.7687172 1.        1.        1.        0.       ],[5. 5. 2. 2. 2.],0.7745418567033282,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803743.200199,587801.2482455743,4475849.914994748,587811.3690942964,4475845.987883533,bf00c76f25185b83
1.0,0.0,0.0,1.0,0.7827539231597131,1.0,0.0,1.0,0.0,[0.78275392 1.         0.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803788.2002969,587582.1597410922,4475909.139988806,587586.2416428756,4475933.846766666,b031a0b55ab951f8
1.0,1.0,1.0,1.0,0.6799485384915368,1.0,1.0,1.0,1.0,[0.67994854 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.8856959066041202,True,2021.05.25.14.16.10_veh-35_01690_02183,0,1621968768.500483,664432.5398397109,3998275.1295099324,664432.4468349776,3998283.159416227,197f2dea642850e7
1.0,1.0,1.0,1.0,0.5266304042883883,1.0,1.0,1.0,1.0,[0.5266304 1.        1.        1.        0.       ],[5. 5. 2. 2. 2.],0.8309394301029958,True,2021.08.16.14.23.37_veh-45_00015_00132,0,1629123996.0000648,589086.9800591298,4474644.859563828,589099.5562945455,4474652.382707104,f289e368449b517b
1.0,1.0,1.0,1.0,0.7888490157733123,1.0,1.0,1.0,1.0,[0.78884902 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.9245889342047544,True,2021.05.25.17.54.41_veh-35_04111_04288,0,1621983954.400126,664532.6963280401,3998967.988115227,664528.9080766515,3998957.8141137264,9ef1d618435d5e53
0.0,0.0,0.0,1.0,0.8997207348301896,0.0,1.0,1.0,0.0,[0.89972073 0.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803653.699924,588384.7254659456,4475979.765537848,588408.901673089,4475997.68834389,c7a44a2e52bc5e22
0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,True,2021.06.03.12.02.06_veh-35_00233_00609,0,1622736824.000944,664206.0176209653,3997424.7895460064,664223.1415014409,3997415.6327069984,082ea12d7b2355cb
0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,[1. 0. 1. 0. 0.],[5. 5. 2. 2. 2.],0.0,True,2021.09.16.15.47.30_veh-45_01199_01391,0,1631808541.799821,587682.0489599478,4475523.874243918,587665.7316243496,4475511.410046936,131ab0263b07507c
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,True,2021.09.16.13.53.10_veh-42_00860_01069,0,1631801376.8998969,587739.0144682316,4475578.689272174,587726.1773957422,4475589.709955371,622867ce25805447
1.0,0.0,1.0,1.0,0.7286300807067926,1.0,1.0,1.0,0.0,[0.72863008 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.10.06.07.26.10_veh-52_01245_02064,0,1633506530.700068,365565.4016012717,143110.29249509098,365578.21117485734,143081.00890142593,52b2e626eca85976
