no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,valid,log_name,frame_type,start_time,endpoint_x,endpoint_y,start_point_x,start_point_y,token
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,[1. 1. 1. 0. 0.],[5. 5. 2. 2. 2.],0.0,True,2021.09.29.19.02.14_veh-28_02911_03005,0,1632945157.7996979,331601.721969442,4689330.118968012,331601.721969442,4689330.118968012,5f53001e7e2d5347
1.0,1.0,1.0,1.0,0.10525641450146751,1.0,1.0,1.0,1.0,[0.10525641 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.6804487194648098,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631804061.69993,587766.901092656,4475618.719899592,587766.901092656,4475618.719899592,23d647e77f2d515e
1.0,1.0,1.0,1.0,0.1639626297302559,1.0,1.0,1.0,1.0,[0.16396263 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.7014152249036628,True,2021.05.25.14.26.37_veh-27_04122_04279,0,1621971538.899724,664461.2711821597,3997774.142845645,664461.2711821597,3997774.142845645,48fecfd582935aac
1.0,1.0,1.0,1.0,0.22770585312352606,1.0,1.0,0.0,1.0,[0.22770585 1.         1.         0.         0.        ],[5. 5. 2. 2. 2.],0.581323518972688,True,2021.09.16.17.40.09_veh-45_02539_02745,0,1631816795.89986,587642.3510978391,4475953.870038709,587642.3510978391,4475953.870038709,63ec67c4a58a5e5b
1.0,1.0,1.0,1.0,0.13267245782352324,1.0,1.0,1.0,1.0,[0.13267246 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.5473830206512583,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803743.200199,587811.3690942964,4475845.987883533,587811.3690942964,4475845.987883533,bf00c76f25185b83
1.0,0.0,1.0,1.0,0.2098246286032249,1.0,0.0,0.0,0.0,[0.20982463 1.         0.         0.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803788.2002969,587586.2416428756,4475933.846766666,587586.2416428756,4475933.846766666,b031a0b55ab951f8
1.0,1.0,1.0,1.0,0.2926503416876886,1.0,1.0,1.0,1.0,[0.29265034 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.7473751220313174,True,2021.05.25.14.16.10_veh-35_01690_02183,0,1621968768.500483,664432.4468349776,3998283.159416227,664432.4468349776,3998283.159416227,197f2dea642850e7
1.0,1.0,1.0,1.0,0.18645753893633368,1.0,1.0,1.0,1.0,[0.18645754 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.7094491210486906,True,2021.08.16.14.23.37_veh-45_00015_00132,0,1629123996.0000648,589099.5562945455,4474652.382707104,589099.5562945455,4474652.382707104,f289e368449b517b
1.0,1.0,1.0,1.0,0.10180925372494624,1.0,1.0,1.0,1.0,[0.10180925 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.6792175906160522,True,2021.05.25.17.54.41_veh-35_04111_04288,0,1621983954.400126,664528.9080766515,3998957.8141137264,664528.9080766515,3998957.8141137264,9ef1d618435d5e53
1.0,1.0,1.0,1.0,0.23599535502017227,1.0,1.0,0.0,1.0,[0.23599536 1.         1.         0.         0.        ],[5. 5. 2. 2. 2.],0.5842840553643472,True,2021.09.16.14.39.34_veh-42_00297_00935,0,1631803653.699924,588408.901673089,4475997.68834389,588408.901673089,4475997.68834389,c7a44a2e52bc5e22
1.0,0.0,1.0,1.0,0.42577033587127483,1.0,1.0,1.0,0.0,[0.42577034 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.06.03.12.02.06_veh-35_00233_00609,0,1622736824.000944,664223.1415014409,3997415.6327069984,664223.1415014409,3997415.6327069984,082ea12d7b2355cb
