,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,5f53001e7e2d5347,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
1,23d647e77f2d515e,True,1.0,1.0,1.0,1.0,0.13303174142928317,1.0,1.0,1.0,1.0,,,,,,,,,,0.729072419196651
2,48fecfd582935aac,True,1.0,1.0,1.0,1.0,0.5707303079325612,1.0,1.0,1.0,1.0,,,,,,,,,,0.8658532212289254
3,63ec67c4a58a5e5b,True,1.0,0.0,0.5,1.0,0.5127057819774955,1.0,0.0,1.0,1.0,,,,,,,,,,0.0
4,bf00c76f25185b83,True,1.0,1.0,1.0,1.0,0.7687171987693189,1.0,1.0,1.0,1.0,,,,,,,,,,0.9277241246154122
5,b031a0b55ab951f8,True,1.0,0.0,0.0,1.0,0.7827539231597131,1.0,0.0,1.0,0.0,,,,,,,,,,0.0
6,197f2dea642850e7,True,1.0,1.0,1.0,1.0,0.6799485384915368,1.0,1.0,1.0,1.0,,,,,,,,,,0.8999839182786052
7,f289e368449b517b,True,1.0,1.0,1.0,1.0,0.5266304042883883,1.0,1.0,1.0,0.0,,,,,,,,,,0.7270720013401213
8,9ef1d618435d5e53,True,1.0,1.0,1.0,1.0,0.7888490157733123,1.0,1.0,1.0,1.0,,,,,,,,,,0.9340153174291601
9,c7a44a2e52bc5e22,True,0.0,0.0,0.0,1.0,0.8997207348301896,0.0,1.0,1.0,0.0,,,,,,,,,,0.0
10,082ea12d7b2355cb,True,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
11,131ab0263b07507c,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,0.0
12,622867ce25805447,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
13,52b2e626eca85976,True,1.0,0.0,1.0,1.0,0.7286300807067926,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
14,bd2b1a4530a1538b,True,1.0,1.0,1.0,1.0,0.7725547395359285,1.0,1.0,1.0,1.0,,,,,,,,,,0.9289233561049777
15,76b708c365e45536,True,1.0,1.0,1.0,1.0,0.5529350749335201,1.0,1.0,1.0,1.0,,,,,,,,,,0.860292210916725
16,8c689c4b2df55539,True,1.0,1.0,1.0,1.0,0.47660894590482067,1.0,1.0,1.0,1.0,,,,,,,,,,0.8364402955952565
17,1b95b6689ee75fab,True,1.0,0.0,0.5,1.0,0.9140502958652426,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
18,6326d00e52115da4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
19,75857e1f177b5af4,True,1.0,0.0,1.0,1.0,0.6235383431480663,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
20,3af9cb4d21e15e9e,True,1.0,0.0,1.0,1.0,0.5533806826848714,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
21,ad34e2d0d3865530,True,1.0,1.0,1.0,1.0,0.5692471420447656,1.0,1.0,1.0,1.0,,,,,,,,,,0.8653897318889893
22,2033fff7b44e56db,True,1.0,1.0,1.0,1.0,0.680502308826218,1.0,1.0,1.0,1.0,,,,,,,,,,0.9001569715081932
23,f9a9b5ee707e501e,True,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
24,f025b78e77b25fba,True,0.5,0.0,0.0,1.0,0.6757386796594956,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
25,12f2dccfb88957f9,True,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
26,fa2c36ce4ba156cb,True,0.0,0.0,0.0,1.0,0.7821160767646546,0.0,0.0,1.0,0.0,,,,,,,,,,0.0
27,aeeba19e19c35ccb,True,1.0,1.0,0.0,1.0,0.8120639130335197,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
28,7b2f3235b4cb5374,True,1.0,0.0,0.5,1.0,0.7178896028568985,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
29,442b2cf63c6f570a,True,1.0,1.0,1.0,1.0,0.6196855110285824,1.0,1.0,1.0,1.0,,,,,,,,,,0.881151722196432
30,635d0bb58aa95282,True,1.0,1.0,1.0,1.0,0.3220136792356696,1.0,1.0,1.0,1.0,,,,,,,,,,0.7881292747611468
31,eed801b1cd035275,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
32,a7d3e71b8ca456a9,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
33,67bce1e28df25eaa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
34,9191f3f8644d50cb,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
35,9483fae2cfc352eb,True,1.0,1.0,1.0,1.0,0.4293735139288255,1.0,1.0,1.0,1.0,,,,,,,,,,0.821679223102758
36,f76112c834c25beb,True,1.0,0.0,0.0,1.0,0.7174817305182107,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
37,2352aa62dbbe58d2,True,0.5,0.0,0.5,1.0,0.648554597349557,0.0,1.0,1.0,1.0,,,,,,,,,,0.0
38,83e895f722575452,True,1.0,1.0,1.0,1.0,0.33059060620189984,1.0,1.0,1.0,1.0,,,,,,,,,,0.7908095644380937
