,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,5f53001e7e2d5347,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,0.75
1,23d647e77f2d515e,True,1.0,1.0,1.0,1.0,0.10525641450146751,1.0,1.0,1.0,0.0,,,,,,,,,,0.5953926295317086
2,48fecfd582935aac,True,1.0,1.0,1.0,1.0,0.1639626297302559,1.0,1.0,1.0,0.0,,,,,,,,,,0.613738321790705
3,63ec67c4a58a5e5b,True,1.0,1.0,1.0,1.0,0.22770585312352606,1.0,1.0,0.0,0.0,,,,,,,,,,0.508658079101102
4,bf00c76f25185b83,True,1.0,1.0,1.0,1.0,0.13267245782352324,1.0,1.0,1.0,0.0,,,,,,,,,,0.603960143069851
5,b031a0b55ab951f8,True,1.0,0.0,1.0,1.0,0.2098246286032249,1.0,0.0,0.0,0.0,,,,,,,,,,0.0
6,197f2dea642850e7,True,1.0,1.0,1.0,1.0,0.2926503416876886,1.0,1.0,1.0,0.0,,,,,,,,,,0.6539532317774027
7,f289e368449b517b,True,1.0,1.0,1.0,1.0,0.18645753893633368,1.0,1.0,1.0,0.0,,,,,,,,,,0.6207679809176043
8,9ef1d618435d5e53,True,1.0,1.0,1.0,1.0,0.10180925372494624,1.0,1.0,1.0,1.0,,,,,,,,,,0.7193153917890457
9,c7a44a2e52bc5e22,True,1.0,1.0,1.0,1.0,0.23599535502017227,1.0,1.0,0.0,0.0,,,,,,,,,,0.5112485484438039
10,082ea12d7b2355cb,True,1.0,0.0,1.0,1.0,0.42577033587127483,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
11,131ab0263b07507c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,0.75
12,622867ce25805447,True,1.0,1.0,1.0,1.0,0.14834347214059118,1.0,1.0,1.0,0.0,,,,,,,,,,0.6088573350439348
13,52b2e626eca85976,True,1.0,1.0,1.0,1.0,0.1588121984270522,1.0,1.0,0.0,0.0,,,,,,,,,,0.4871288120084538
14,bd2b1a4530a1538b,True,1.0,1.0,1.0,1.0,0.15102075240844942,1.0,1.0,1.0,0.0,,,,,,,,,,0.6096939851276404
15,76b708c365e45536,True,1.0,1.0,1.0,1.0,0.11593013158453194,1.0,1.0,1.0,1.0,,,,,,,,,,0.7237281661201662
16,8c689c4b2df55539,True,1.0,1.0,1.0,1.0,0.26718126572338896,1.0,0.0,1.0,0.0,,,,,,,,,,0.520994145538559
17,1b95b6689ee75fab,True,1.0,1.0,1.0,1.0,0.18521723859054162,1.0,1.0,1.0,0.0,,,,,,,,,,0.6203803870595442
18,6326d00e52115da4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
19,75857e1f177b5af4,True,1.0,1.0,1.0,1.0,0.2065737196604731,1.0,1.0,0.0,0.0,,,,,,,,,,0.5020542873938978
20,3af9cb4d21e15e9e,True,1.0,1.0,1.0,1.0,0.07455905606090023,1.0,1.0,1.0,1.0,,,,,,,,,,0.7107997050190313
21,ad34e2d0d3865530,True,1.0,1.0,1.0,1.0,0.15921043664010426,1.0,1.0,1.0,0.0,,,,,,,,,,0.6122532614500326
22,2033fff7b44e56db,True,1.0,1.0,1.0,1.0,0.08212737030260672,1.0,1.0,1.0,1.0,,,,,,,,,,0.7131648032195645
23,f9a9b5ee707e501e,True,1.0,1.0,1.0,1.0,0.2462576028745515,1.0,0.0,0.0,0.0,,,,,,,,,,0.38945550089829734
24,f025b78e77b25fba,True,1.0,1.0,1.0,1.0,0.23966564031247303,1.0,1.0,0.0,0.0,,,,,,,,,,0.5123955125976478
25,12f2dccfb88957f9,True,1.0,1.0,1.0,1.0,0.4692533320979595,1.0,1.0,0.0,0.0,,,,,,,,,,0.5841416662806124
26,fa2c36ce4ba156cb,True,1.0,1.0,1.0,1.0,0.2593867156764964,1.0,0.0,0.0,0.0,,,,,,,,,,0.39355834864890515
27,aeeba19e19c35ccb,True,1.0,0.0,1.0,1.0,0.20967650569976715,1.0,0.0,0.0,0.0,,,,,,,,,,0.0
28,7b2f3235b4cb5374,True,1.0,1.0,1.0,1.0,0.20982727456974642,1.0,1.0,0.0,0.0,,,,,,,,,,0.5030710233030458
29,442b2cf63c6f570a,True,1.0,1.0,1.0,1.0,0.17232973110352146,1.0,1.0,1.0,0.0,,,,,,,,,,0.6163530409698504
30,635d0bb58aa95282,True,1.0,1.0,1.0,1.0,0.12556013862514281,1.0,1.0,1.0,0.0,,,,,,,,,,0.6017375433203571
31,eed801b1cd035275,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,0.75
32,a7d3e71b8ca456a9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
33,67bce1e28df25eaa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
34,9191f3f8644d50cb,True,1.0,1.0,1.0,1.0,0.3150521522105471,1.0,0.0,1.0,0.0,,,,,,,,,,0.535953797565796
35,9483fae2cfc352eb,True,1.0,1.0,1.0,1.0,0.18720959027311218,1.0,1.0,1.0,0.0,,,,,,,,,,0.6210029969603476
36,f76112c834c25beb,True,1.0,1.0,1.0,1.0,0.20455106630583267,1.0,1.0,0.0,0.0,,,,,,,,,,0.5014222082205727
37,2352aa62dbbe58d2,True,1.0,1.0,1.0,1.0,0.202309557144103,1.0,1.0,0.0,0.0,,,,,,,,,,0.5007217366075322
38,83e895f722575452,True,1.0,1.0,1.0,1.0,0.16187637212232725,1.0,1.0,1.0,0.0,,,,,,,,,,0.6130863662882273
39,082988f40658562c,True,1.0,1.0,1.0,1.0,0.02699622022030235,1.0,1.0,1.0,1.0,,,,,,,,,,0.6959363188188445
40,f56b0cc9c9d95421,True,1.0,1.0,1.0,1.0,0.31039132956707227,1.0,1.0,0.0,0.0,,,,,,,,,,0.5344972904897101
41,3c34d5d03e8a5bdc,True,1.0,1.0,1.0,1.0,0.18457491437499646,1.0,1.0,1.0,0.0,,,,,,,,,,0.6201796607421863
42,ac55c7f072c6528d,True,1.0,1.0,1.0,1.0,0.3040340704383101,1.0,1.0,0.0,0.0,,,,,,,,,,0.5325106470119719
43,3c542be991515ccd,True,1.0,1.0,1.0,1.0,0.21597004422894975,1.0,1.0,0.0,0.0,,,,,,,,,,0.5049906388215468
44,a8a34f54618050f6,True,1.0,1.0,1.0,1.0,0.1978670461011723,1.0,1.0,1.0,0.0,,,,,,,,,,0.6243334519066164
45,330166def5a35f4d,True,1.0,1.0,1.0,1.0,0.3799617634312385,1.0,1.0,1.0,0.0,,,,,,,,,,0.681238051072262
46,ea31c764f6385f4a,True,1.0,1.0,1.0,1.0,0.36173920763751644,1.0,1.0,1.0,0.0,,,,,,,,,,0.6755435023867239
47,bbb5018d017754d0,True,1.0,1.0,1.0,1.0,0.3303113869573592,1.0,1.0,1.0,0.0,,,,,,,,,,0.6657223084241748
48,32e5d7e804c65214,True,1.0,1.0,1.0,1.0,0.13381610186514212,1.0,1.0,1.0,0.0,,,,,,,,,,0.6043175318328569
49,69baa41122b45e43,True,1.0,0.0,1.0,1.0,0.20334907650431505,1.0,0.0,0.0,0.0,,,,,,,,,,0.0
50,b2abc819ebf45c11,True,1.0,1.0,1.0,1.0,0.07010255662224142,1.0,1.0,1.0,1.0,,,,,,,,,,0.7094070489444504
