no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,valid,log_name,frame_type,start_time,endpoint_x,endpoint_y,start_point_x,start_point_y,token
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,[1. 0. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,True,2021.09.29.19.02.14_veh-28_02911_03005,0,1632945157.7996979,331573.6676197552,4689333.0530617265,331601.721969442,4689330.118968012,5f53001e7e2d5347
1.0,1.0,1.0,1.0,0.4282492740305906,1.0,1.0,1.0,1.0,[0.42824927 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.7958033121537823,True,2021.09.16.13.53.10_veh-42_00180_00342,0,1631800680.899344,589251.9382164368,4474179.176845104,589242.0472052258,4474176.759019697,ae472d675a965aca
0.0,0.0,1.0,1.0,0.9827726528565215,0.0,1.0,1.0,0.0,[0.98277265 0.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.08.30.14.54.34_veh-40_00439_00835,0,1630335851.5005128,331385.17543580075,4690967.764729942,331410.0991830117,4690947.028148036,c054f473288d5515
1.0,1.0,1.0,1.0,0.9516357537823119,1.0,1.0,1.0,1.0,[0.95163575 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.8398699120651114,True,2021.08.30.14.54.34_veh-40_00439_00835,0,1630335851.000633,331386.9083020109,4690965.017278778,331413.13880491117,4690944.533311284,68097b10029d5fe1
0.5,0.0,1.0,1.0,0.41945930073117355,0.0,1.0,1.0,0.0,[0.4194593 0.        1.        1.        0.       ],[5. 5. 2. 2. 2.],0.0,True,2021.09.16.13.53.10_veh-42_00180_00342,0,1631800681.3990788,589255.0267901977,4474180.368699088,589243.3815367504,4474177.106909354,f14e7ed78b5d55b4
1.0,0.0,1.0,1.0,0.8837821403061267,1.0,1.0,1.0,0.0,[0.88378214 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.08.16.14.23.37_veh-45_00015_00132,0,1629124048.500084,588936.78811182,4474948.328120239,588949.7255746338,4474914.198934419,4cac9f6cd85a5b47
0.0,0.0,0.5,1.0,0.7180111822123013,0.0,1.0,1.0,0.0,[0.71801118 0.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.0,True,2021.09.29.19.02.14_veh-28_02911_03005,0,1632945158.299608,331568.913178185,4689335.138458034,331598.1846219732,4689330.576005744,3c542be991515ccd
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,True,2021.09.16.15.47.30_veh-45_01199_01391,0,1631808551.2995698,587720.316182371,4475562.763876031,587704.8190818963,4475545.223946949,13310ca9a7715154
1.0,1.0,1.0,1.0,0.8822524987708213,1.0,1.0,1.0,1.0,[0.8822525 1.        1.        1.        0.       ],[5. 5. 2. 2. 2.],0.957947320989579,True,2021.08.16.14.23.37_veh-45_00015_00132,0,1629124048.000377,588938.4491357591,4474944.16990488,588951.2628397987,4474910.0932001425,2382542e05f253df
1.0,1.0,1.0,1.0,0.9926912333700368,1.0,1.0,1.0,1.0,[0.99269123 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.9973897262035846,True,2021.09.16.19.27.01_veh-45_01749_03230,0,1631822757.500365,587582.0641519007,4475577.073597923,587557.3135848412,4475585.698763372,19e90f2757b25f38
1.0,1.0,1.0,1.0,0.7565043588615681,1.0,1.0,1.0,1.0,[0.75650436 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.9130372710219886,True,2021.10.06.08.16.17_veh-52_01590_01725,0,1633509880.200006,365789.6830910234,143342.8770537714,365788.397083403,143372.78371830107,ed3db88f99a05a6c
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,True,2021.09.16.19.27.01_veh-45_01749_03230,0,1631822758.0006928,587582.7839297837,4475576.718491313,587560.1601854337,4475584.715901437,f6b9867069845fd2
